code_insee,nom,pop_tot_commune,pop_mun_commune,siren,epci_nom,epci_type,epci_modeFinancement,total_pop_tot,total_pop_mun,superficie_hectare,superficie_km2,dept_com,bassin_vie,dept_epci
01304,Pont-d'Ain,2912,2862,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1122.0,11.0,01,01304,01
01199,Jujurieux,2246,2209,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1548.0,15.0,01,01004,01
01363,Saint-Jean-le-Vieux,1873,1799,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1517.0,15.0,01,01004,01
01314,Priay,1826,1803,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1571.0,16.0,01,01004,01
01273,Neuville-sur-Ain,1823,1798,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1991.0,20.0,01,01004,01
01303,Poncin,1792,1766,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1980.0,20.0,01,01004,01
01068,Cerdon,771,755,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1211.0,12.0,01,01004,01
01430,Varambon,675,664,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,797.0,8.0,01,01304,01
01056,Boyeux-Saint-Jérôme,370,362,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,1668.0,17.0,01,01004,01
01200,Labalme,213,207,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,884.0,9.0,01,01004,01
01331,Saint-Alban,196,195,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,817.0,8.0,01,01004,01
01077,Challes-la-Montagne,187,185,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,779.0,8.0,01,01004,01
01404,Serrières-sur-Ain,137,135,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,837.0,8.0,01,01004,01
01242,Mérignat,135,133,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,15156,14873,312.0,3.0,01,01004,01
01034,Belley,9584,9270,200040350,CC Bugey Sud,CC,FPU,34938,34086,2258.0,23.0,01,01034,01
01138,Culoz-Béon,3485,3416,200040350,CC Bugey Sud,CC,FPU,34938,34086,1911.0,19.0,01,01138,01
01036,Valromey-sur-Séran,1375,1350,200040350,CC Bugey Sud,CC,FPU,34938,34086,1968.0,20.0,01,01034,01
01338,Groslée-Saint-Benoit,1258,1232,200040350,CC Bugey Sud,CC,FPU,34938,34086,2134.0,21.0,01,38022,01
01098,Chazey-Bons,1186,1165,200040350,CC Bugey Sud,CC,FPU,34938,34086,1071.0,11.0,01,01034,01
01022,Artemare,1156,1141,200040350,CC Bugey Sud,CC,FPU,34938,34086,334.0,3.0,01,01034,01
01061,Brens,1151,1117,200040350,CC Bugey Sud,CC,FPU,34938,34086,684.0,7.0,01,01034,01
01454,Virignin,1143,1122,200040350,CC Bugey Sud,CC,FPU,34938,34086,783.0,8.0,01,01034,01
01452,Virieu-le-Grand,1134,1110,200040350,CC Bugey Sud,CC,FPU,34938,34086,1264.0,13.0,01,01034,01
01073,Ceyzérieu,1051,1028,200040350,CC Bugey Sud,CC,FPU,34938,34086,1972.0,20.0,01,01138,01
01286,Parves et Nattages,980,943,200040350,CC Bugey Sud,CC,FPU,34938,34086,551.0,6.0,01,73330,01
01294,Peyrieu,937,918,200040350,CC Bugey Sud,CC,FPU,34938,34086,1406.0,14.0,01,01034,01
01079,Champagne-en-Valromey,857,826,200040350,CC Bugey Sud,CC,FPU,34938,34086,1819.0,18.0,01,01034,01
01058,Brégnier-Cordon,831,812,200040350,CC Bugey Sud,CC,FPU,34938,34086,1113.0,11.0,01,73236,01
01187,Haut Valromey,802,777,200040350,CC Bugey Sud,CC,FPU,34938,34086,2862.0,29.0,01,01185,01
01453,Arvière-en-Valromey,731,715,200040350,CC Bugey Sud,CC,FPU,34938,34086,1643.0,16.0,01,01034,01
01015,Arboys en Bugey,699,688,200040350,CC Bugey Sud,CC,FPU,34938,34086,1301.0,13.0,01,01034,01
01227,Magnieu,663,651,200040350,CC Bugey Sud,CC,FPU,34938,34086,625.0,6.0,01,01034,01
01239,Massignieu-de-Rives,662,653,200040350,CC Bugey Sud,CC,FPU,34938,34086,910.0,9.0,01,01034,01
01415,Talissieu,520,514,200040350,CC Bugey Sud,CC,FPU,34938,34086,496.0,5.0,01,01034,01
01116,Contrevoz,503,489,200040350,CC Bugey Sud,CC,FPU,34938,34086,1427.0,14.0,01,01034,01
01372,Saint-Martin-de-Bavel,445,431,200040350,CC Bugey Sud,CC,FPU,34938,34086,858.0,9.0,01,01034,01
01141,Cuzieu,431,423,200040350,CC Bugey Sud,CC,FPU,34938,34086,483.0,5.0,01,01034,01
01358,Saint-Germain-les-Paroisses,431,423,200040350,CC Bugey Sud,CC,FPU,34938,34086,1638.0,16.0,01,01034,01
01133,Cressin-Rochefort,389,384,200040350,CC Bugey Sud,CC,FPU,34938,34086,773.0,8.0,01,01034,01
01009,Andert-et-Condon,343,335,200040350,CC Bugey Sud,CC,FPU,34938,34086,696.0,7.0,01,01034,01
01310,Prémeyzel,248,245,200040350,CC Bugey Sud,CC,FPU,34938,34086,762.0,8.0,01,01034,01
01268,Murs-et-Gélignieux,242,239,200040350,CC Bugey Sud,CC,FPU,34938,34086,606.0,6.0,01,73236,01
01193,Izieu,229,223,200040350,CC Bugey Sud,CC,FPU,34938,34086,774.0,8.0,01,73236,01
01302,Pollieu,171,167,200040350,CC Bugey Sud,CC,FPU,34938,34086,362.0,4.0,01,01034,01
01234,Marignieu,167,164,200040350,CC Bugey Sud,CC,FPU,34938,34086,354.0,4.0,01,01034,01
01110,Colomieu,166,164,200040350,CC Bugey Sud,CC,FPU,34938,34086,583.0,6.0,01,01034,01
01329,Rossillon,165,164,200040350,CC Bugey Sud,CC,FPU,34938,34086,807.0,8.0,01,01034,01
01117,Conzieu,149,148,200040350,CC Bugey Sud,CC,FPU,34938,34086,708.0,7.0,01,01034,01
01208,Lavours,139,138,200040350,CC Bugey Sud,CC,FPU,34938,34086,615.0,6.0,01,01034,01
01100,Cheignieu-la-Balme,134,130,200040350,CC Bugey Sud,CC,FPU,34938,34086,590.0,6.0,01,01034,01
01006,Ambléon,114,114,200040350,CC Bugey Sud,CC,FPU,34938,34086,602.0,6.0,01,01034,01
01066,La Burbanche,98,97,200040350,CC Bugey Sud,CC,FPU,34938,34086,1107.0,11.0,01,01034,01
01456,Vongnes,73,71,200040350,CC Bugey Sud,CC,FPU,34938,34086,208.0,2.0,01,01138,01
01162,Flaxieu,67,64,200040350,CC Bugey Sud,CC,FPU,34938,34086,294.0,3.0,01,01034,01
01019,Armix,29,25,200040350,CC Bugey Sud,CC,FPU,34938,34086,695.0,7.0,01,01034,01
01427,Trévoux,7095,6931,200042497,CC Dombes Saône Vallée,CC,FPU,41975,40893,564.0,6.0,01,69264,01
01322,Reyrieux,5334,5228,200042497,CC Dombes Saône Vallée,CC,FPU,41975,40893,1562.0,16.0,01,69264,01
01238,Massieux,2794,2733,200042497,CC Dombes Saône Vallée,CC,FPU,41975,40893,320.0,3.0,01,69143,01
01166,Frans,2585,2547,200042497,CC Dombes Saône Vallée,CC,FPU,41975,40893,809.0,8.0,01,69264,01
01157,Fareins,2583,2524,200042497,CC Dombes Saône Vallée,CC,FPU,41975,40893,830.0,8.0,01,69264,01
01250,Misérieux,2286,2010,200042497,CC Dombes Saône Vallée,CC,FPU,41975,40893,747.0,7.0,01,69264,01
