Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des logements vacants 2022
200000172;CC Faucigny - Glières;8.6
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;6.8
200000545;CC des Portes de Romilly sur Seine;11.2
200000628;CC Rhône Lez Provence;10.8
200000800;CC Coeur de Sologne;10.6
200000925;CC de la Plaine Dijonnaise;5
200000933;CC Sauldre et Sologne;12.9
200004802;CC du Pays de Fayence;8.1
200005932;CC des Portes de Sologne;7.6
200005957;CC de la Région de Rambervillers;13
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;10.8
200006716;CC du Nogentais;11.9
200006930;CC du Haut Allier Margeride;9.9
200006971;CC du Perche;10.7
200007052;CC de la Marche Berrichonne;17.6
200007177;CC Pays de Nérondes;14.1
200010650;CA du Grand Dole;8
200010700;CA Caux Seine Agglo;6.4
200011773;CA Annemasse-Les Voirons-Agglomération;9.4
200011781;CC Portes du Berry entre Loire et Val d'Aubois;14.3
200013050;CC Sauer-Pechelbronn;9.3
200015162;CC de l'Oriente;2.9
200016905;CC du Pays de Lamastre;8.5
200017341;CC Lodévois et Larzac;10.3
200017846;CA Étampois Sud Essonne;8.9
200018083;CC de Desvres-Samer;7.9
200018166;CC Le Grésivaudan;5.7
200018406;CC du Romorantinais et du Monestois;11.7
200018521;CC du Val de Bouzanne;17.3
200018653;CA CAP Excellence;15.3
200022986;CC du Grand Pic Saint-Loup;4.5
200023075;CC du Pays de Maîche;9.4
200023125;CC Les Portes Briardes Entre Villes et Forêts;5.5
200023240;CC Pays de Nemours;9
200023299;CC Coeur de Tarentaise;3.4
200023307;CA du Grand Villeneuvois;12.7
200023372;CC de la Vallée de Chamonix-Mont-Blanc;1.8
200023414;Métropole Rouen Normandie;7.7
200023620;CC de la Gascogne Toulousaine;6.2
200023737;CA du Grand Cahors;10.2
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;4
200023794;CC de Blaye;11.3
200023919;CC Gâtinais Val de Loing;13.4
200026573;CC Haut-Jura Saint-Claude;15.8
200027027;CC Arc Sud Bretagne;5.5
200027076;CC Arnon Boischaut Cher;14.9
200027100;CC Méditerranée Porte des Maures;2.3
200027183;CU Perpignan Méditerranée Métropole;9.3
200027217;CC Sarlat-Périgord Noir;9.5
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;13
200027548;CC des Savanes;11.4
200029734;CC des 4B Sud Charente;12.6
200029999;CC Rives de l'Ain - Pays du Cerdon;10.5
200030195;Métropole Nice Côte d'Azur;10.6
200030385;CA de Blois ''Agglopolys'';9.7
200030435;CC d'Aire-sur-l'Adour;9.2
200030526;CC du Ried de Marckolsheim;6.6
200030633;CA du Caudrésis et du Catésis;10.4
