Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200000172;CC Faucigny - Glières;85.7
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;88.9
200000545;CC des Portes de Romilly sur Seine;75.8
200000628;CC Rhône Lez Provence;89
200000800;CC Coeur de Sologne;79.7
200000925;CC de la Plaine Dijonnaise;88
200000933;CC Sauldre et Sologne;83.4
200004802;CC du Pays de Fayence;89.1
200005932;CC des Portes de Sologne;86.4
200005957;CC de la Région de Rambervillers;85.7
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;78.5
200006716;CC du Nogentais;80.5
200006930;CC du Haut Allier Margeride;73
200006971;CC du Perche;71.9
200007052;CC de la Marche Berrichonne;84.3
200007177;CC Pays de Nérondes;85.5
200010650;CA du Grand Dole;81.1
200010700;CA Caux Seine Agglo;87.7
200011773;CA Annemasse-Les Voirons-Agglomération;57.9
200011781;CC Portes du Berry entre Loire et Val d'Aubois;89
200013050;CC Sauer-Pechelbronn;88
200015162;CC de l'Oriente;84.9
200016905;CC du Pays de Lamastre;79.6
200017341;CC Lodévois et Larzac;80.1
200017846;CA Étampois Sud Essonne;68
200018083;CC de Desvres-Samer;87.8
200018166;CC Le Grésivaudan;80.8
200018406;CC du Romorantinais et du Monestois;85.2
200018521;CC du Val de Bouzanne;84.4
200018653;CA CAP Excellence;83.1
200022986;CC du Grand Pic Saint-Loup;85.4
200023075;CC du Pays de Maîche;86.8
200023125;CC Les Portes Briardes Entre Villes et Forêts;66.7
200023240;CC Pays de Nemours;69.9
200023299;CC Coeur de Tarentaise;65.6
200023307;CA du Grand Villeneuvois;88
200023372;CC de la Vallée de Chamonix-Mont-Blanc;59.3
200023414;Métropole Rouen Normandie;67
200023620;CC de la Gascogne Toulousaine;86.6
200023737;CA du Grand Cahors;77.5
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;86.5
200023794;CC de Blaye;87.3
200023919;CC Gâtinais Val de Loing;75.5
200026573;CC Haut-Jura Saint-Claude;81.4
200027027;CC Arc Sud Bretagne;87.3
200027076;CC Arnon Boischaut Cher;84.7
200027100;CC Méditerranée Porte des Maures;80.7
200027183;CU Perpignan Méditerranée Métropole;81.4
200027217;CC Sarlat-Périgord Noir;80.5
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;82.8
200027548;CC des Savanes;71.6
200029734;CC des 4B Sud Charente;84.2
