Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution de la part des déplacements domicile-travail en voiture 2016-2022
200000172;CC Faucigny - Glières;0.6
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;1.1
200000545;CC des Portes de Romilly sur Seine;0.6
200000628;CC Rhône Lez Provence;1.9
200000800;CC Coeur de Sologne;1.4
200000925;CC de la Plaine Dijonnaise;2.2
200000933;CC Sauldre et Sologne;3.6
200004802;CC du Pays de Fayence;0.4
200005932;CC des Portes de Sologne;1.5
200005957;CC de la Région de Rambervillers;0.5
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;1
200006716;CC du Nogentais;1.9
200006930;CC du Haut Allier Margeride;-1.5
200006971;CC du Perche;-1.8
200007052;CC de la Marche Berrichonne;7.3
200007177;CC Pays de Nérondes;2.1
200010650;CA du Grand Dole;-0.5
200010700;CA Caux Seine Agglo;1.5
200011773;CA Annemasse-Les Voirons-Agglomération;-6.8
200011781;CC Portes du Berry entre Loire et Val d'Aubois;2.2
200013050;CC Sauer-Pechelbronn;2.7
200015162;CC de l'Oriente;-0.5
200016905;CC du Pays de Lamastre;-0.5
200017341;CC Lodévois et Larzac;3.4
200017846;CA Étampois Sud Essonne;-1.1
200018083;CC de Desvres-Samer;2
200018166;CC Le Grésivaudan;-1
200018406;CC du Romorantinais et du Monestois;0
200018521;CC du Val de Bouzanne;0.6
200018653;CA CAP Excellence;0.9
200022986;CC du Grand Pic Saint-Loup;-1
200023075;CC du Pays de Maîche;0.2
200023125;CC Les Portes Briardes Entre Villes et Forêts;2.4
200023240;CC Pays de Nemours;-1.3
200023299;CC Coeur de Tarentaise;4.4
200023307;CA du Grand Villeneuvois;1.2
200023372;CC de la Vallée de Chamonix-Mont-Blanc;-0.5
200023414;Métropole Rouen Normandie;-3
200023620;CC de la Gascogne Toulousaine;0.4
200023737;CA du Grand Cahors;-2.9
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;0.2
200023794;CC de Blaye;3
200023919;CC Gâtinais Val de Loing;0.8
200026573;CC Haut-Jura Saint-Claude;1.2
200027027;CC Arc Sud Bretagne;1.9
200027076;CC Arnon Boischaut Cher;1.4
200027100;CC Méditerranée Porte des Maures;1.9
200027183;CU Perpignan Méditerranée Métropole;-0.2
200027217;CC Sarlat-Périgord Noir;-1
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;-1.1
200027548;CC des Savanes;-2.6
200029734;CC des 4B Sud Charente;-1
200029999;CC Rives de l'Ain - Pays du Cerdon;1.8
200030195;Métropole Nice Côte d'Azur;-3.1
200030385;CA de Blois ''Agglopolys'';-1.2
200030435;CC d'Aire-sur-l'Adour;4.7
200030526;CC du Ried de Marckolsheim;3.1
200030633;CA du Caudrésis et du Catésis;2.4
200030658;CC du Trièves;4.1
200030674;CA Val de Garonne Agglomération;0.4
200032514;CC Berry-Loire-Vauvise;3.7
200033025;CA de Bar-le-Duc - Sud Meuse;0.6
200033090;CC Plaines et Monts de France;-0.3
200033116;CC Cluses-Arve et Montagnes;-0.5
200033173;CC de la Haute Vallée de Chevreuse;-0.8
200033181;CA Chartres Métropole;0
200033298;CC des Coëvrons;0.2
200033579;CU d'Arras;-1
200033827;CC de Fium'Orbu Castellu;1.3
200033868;CC des Ballons des Hautes-Vosges;-1.7
200034023;CC Tarn-Agout;-0.4
200034031;CC des Monts d'Alban et du Villefranchois;-1.2
200034049;CC Centre Tarn;-0.2
200034056;CC du Lautrécois et du Pays d'Agout;1.8
200034064;CC du Cordais et du Causse;-3.3
200034098;CC des Montagnes du Giffre;1.3
200034130;CC Gally Mauldre;-1.6
200034197;CC de Montaigne Montravel et Gurson;2.4
200034205;CC de la Costa Verde;-0.3
200034270;CC du Pays de Barr;0.7
200034379;CC Pays d'Uzès;2.5
200034411;CC du Piémont Cévenol;0.8
200034601;CC Causses Aigoual Cévennes;-7.5
200034635;CC du Kochersberg;2.4
200034692;CA du Gard Rhodanien;2.5
200034700;CA Durance-Lubéron-Verdon Agglomération;0.1
200034718;CC de Vitry, Champagne et Der;3.9
200034726;CC Bastides de Lomagne;0.3
200034825;CA du Grand Guéret;-1.8
200034833;CC des Bastides Dordogne-Périgord;2.9
200034874;CC Côtes de Meuse Woëvre;1
200034882;CC Pays du Mont-Blanc;-0.6
200034957;CC du Frontonnais;0.4
200035087;CA Terre de Provence;0.3
200035103;CC de la Vallée de la Haute Sarthe;4.3
200035111;CC des Sources de l'Orne;3.3
200035129;CC de Cèze Cévennes;2.1
200035137;CC Marche Occitane - Val d'Anglin;6
200035202;CC Charlieu-Belmont;0.1
200035319;Estérel Côte d'Azur Agglomération;-1
200035327;CC Cazals-Salviac;-1.3
200035442;CC du Sud Artois;1.2
200035533;CC du Grand Saint Emilionnais;3.4
200035541;CC des Landes d'Armagnac;-0.1
200035632;CC Armagnac Adour;5.2
200035707;CC Piège Lauragais Malepère;3.1
200035715;CA Carcassonne Agglo;-0.7
200035723;CC Ventoux Sud;14.7
200035731;CA Roannais Agglomération;-0.5
