Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
01004;Ambérieu-en-Bugey;27.7
01033;Valserhône;22.3
01034;Belley;19.5
01053;Bourg-en-Bresse;19.6
01093;Châtillon-sur-Chalaronne;26.1
01134;Crottet - Pont-de-Veyle;28
01143;Divonne-les-Bains;35.5
01173;Gex;17.9
01185;Plateau d'Hauteville;23
01202;Lagnieu;24.7
01244;Meximieux;28.8
01266;Montrevel-en-Bresse;21.8
01269;Nantua;21.3
01283;Oyonnax;16
01305;Pont-de-Vaux;22.8
01333;Saint-André-de-Corcy;24.2
01348;Saint-Didier-sur-Chalaronne - Thoissey;27.2
01443;Villars-les-Dombes;28.5
01457;Vonnas;29.6
02018;Pinon;26.3
02095;Bohain-en-Vermandois;20.7
02141;La Capelle;21.8
02163;Charly-sur-Marne;43
02168;Château-Thierry;29.9
02173;Chauny;26.6
02305;Fère-en-Tardenois;28.5
02361;Guise;21.6
02381;Hirson;24.7
02408;Laon;22.5
02468;Marle;26.3
02558;Le Nouvion-en-Thiérache;22.6
02691;Saint-Quentin;20.4
02722;Soissons;25.1
02738;Tergnier;27.2
02789;Vervins;19.8
02795;Vic-sur-Aisne;34.4
02810;Villers-Cotterêts;36.2
03036;Bourbon-l'Archambault;20.2
03082;Commentry;17.7
03084;Cosne-d'Allier;24.6
03102;Dompierre-sur-Besbre;19.8
03118;Gannat;26.3
03138;Lapalisse;21
03165;Le Mayet-de-Montagne;24.7
03185;Montluçon;16.8
03186;Montmarault;23.6
03190;Moulins;14.8
03236;Saint-Germain-des-Fossés;18
03254;Saint-Pourçain-sur-Sioule;24.8
03298;Varennes-sur-Allier;20.4
03310;Vichy;22.6
04019;Barcelonnette;11.8
04039;Castellane;16.5
04049;Château-Arnoux-Saint-Auban;22.7
04070;Digne-les-Bains;19.6
04088;Forcalquier;27.8
04094;Gréoux-les-Bains;25.7
04112;Manosque;22.9
04143;Oraison;25.8
04166;Riez;22.8
04173;Saint-André-les-Alpes;33.5
04209;Sisteron;20.9
05006;L'Argentière-la-Bessée;17.4
05023;Briançon;15.8
05046;Embrun;22.1
05061;Gap;17.8
05065;Guillestre;19.5
05070;Laragne-Montéglin;20.6
05132;Saint-Bonnet-en-Champsaur;23
05179;Veynes;27.4
06083;Menton;20.2
06088;Nice;19.4
06099;Puget-Théniers;30.6
06163;Tende;25.2
07010;Annonay;19.2
07019;Aubenas;22
07042;Bourg-Saint-Andéol;20.4
07064;Le Cheylard;19.1
07129;Lamastre;23.5
07186;Privas;19.6
07201;Ruoms;20.4
07204;Saint-Agrève;14.7
07324;Tournon-sur-Rhône;21.7
07330;Vallon-Pont-d'Arc;33.1
07334;Les Vans;24.5
07338;Vernoux-en-Vivarais;27.8
07349;La Voulte-sur-Rhône;19.8
08090;Carignan;17.7
08105;Charleville-Mézières;17.1
08185;Fumay;21.4
08190;Givet;18.8
08302;Monthermé;15.6
08328;Nouzonville;14.3
08362;Rethel;26.1
08363;Revin;25.9
08367;Rocroi;16.4
08409;Sedan;18.1
08490;Vouziers;20.8
08491;Vrigne-aux-Bois;12.8
09032;Ax-les-Thermes;13.7
09122;Foix;20.3
09160;Lavelanet;22.3
09167;Lézat-sur-Lèze;33.1
09185;Mazères;27.9
09194;Mirepoix;26.7
09225;Pamiers;19.2
