SIREN,Nom de l'EPCI,Nature de l'EPCI,Superficie de l'EPCI (km²),Superficie des territoires artificialisés* (km²),Part de la superficie artificialisée,,* Les donnes proviennent de Corine Land Cover millésime 2018
200000172,CC Faucigny-Glières,Communauté de communes,"151,207","15,745","10,41 %",,
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,Communauté de communes,"327,68","32,093","9,79 %",,
200000545,CC des Portes de Romilly-sur-Seine,Communauté de communes,"104,975","12,727","12,12 %",,
200000628,CC Rhône Lez Provence,Communauté de communes,"150,602","14,459","9,60 %",,
200000800,CC Cœur de Sologne,Communauté de communes,"343,024","10,642","3,10 %",,
200000925,CC de la Plaine Dijonnaise,Communauté de communes,"204,531","16,547","8,09 %",,
200000933,CC Sauldre et Sologne,Communauté de communes,"975,837","14,732","1,51 %",,
200004802,CC du Pays de Fayence,Communauté de communes,"407,962","31,181","7,64 %",,
200005932,CC des Portes de Sologne,Communauté de communes,"417,954","16,144","3,86 %",,
200005957,CC de la Région de Rambervillers,Communauté de communes,"329,151","14,201","4,31 %",,
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",Communauté d'agglomération,"559,736","44,999","8,04 %",,
200006716,CC du Nogentais,Communauté de communes,"295,919","17,586","5,94 %",,
200006930,CC du Haut Allier,Communauté de communes,"283,243","3,003","1,06 %",,
200006971,CC du Perche,Communauté de communes,"330,217","10,483","3,17 %",,
200007052,CC de la Marche Berrichonne,Communauté de communes,"286,914","5,091","1,77 %",,
200007177,CC Pays de Nérondes,Communauté de communes,"254,752","3,944","1,55 %",,
200010650,CA du Grand Dole,Communauté d'agglomération,"427,6","50,96","11,92 %",,
200010700,CA Caux Seine Agglo,Communauté d'agglomération,"574,985","49,099","8,54 %",,
200011773,CA Annemasse-Les Voirons-Agglomération,Communauté d'agglomération,"77,904","30,575","39,25 %",,
200011781,CC Portes du Berry entre Loire et Val d'Aubois,Communauté de communes,"291,051","9,978","3,43 %",,
200013050,CC Sauer-Pechelbronn,Communauté de communes,"197,616","11,645","5,89 %",,
200016905,CC du Pays de Lamastre,Communauté de communes,"224,194","2,568","1,15 %",,
200017341,CC Lodévois et Larzac,Communauté de communes,"553,933","7,72","1,39 %",,
200017846,CA Étampois Sud Essonne,Communauté d'agglomération,"490,232","28,564","5,83 %",,
200018083,CC de Desvres-Samer,Communauté de communes,"247,698","8,871","3,58 %",,
200018166,CC Le Grésivaudan,Communauté de communes,"732,277","56,197","7,67 %",,
200018406,CC du Romorantinais et du Monestois,Communauté de communes,"492,793","31,249","6,34 %",,
200018521,CC du Val de Bouzanne,Communauté de communes,"280,667","4,353","1,55 %",,
200022986,CC du Grand Pic Saint-Loup,Communauté de communes,"576,57","36,591","6,35 %",,
200023075,CC du Pays de Maîche,Communauté de communes,"383,669","10,517","2,74 %",,
200023125,CC Les Portes Briardes entre Villes et Forêts,Communauté de communes,"67,486","21,513","31,88 %",,
200023240,CC Pays de Nemours,Communauté de communes,"223,983","18,659","8,33 %",,
