Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200000172;CC Faucigny - Glières;71.7
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;8.7
200000545;CC des Portes de Romilly sur Seine;19.5
200000628;CC Rhône Lez Provence;29.4
200000800;CC Coeur de Sologne;67.9
200000925;CC de la Plaine Dijonnaise;25.2
200000933;CC Sauldre et Sologne;50.5
200004802;CC du Pays de Fayence;79.2
200005932;CC des Portes de Sologne;68.4
200005957;CC de la Région de Rambervillers;49.2
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;31.5
200006716;CC du Nogentais;18.2
200006930;CC du Haut Allier Margeride;63
200006971;CC du Perche;11.3
200007052;CC de la Marche Berrichonne;7.5
200007177;CC Pays de Nérondes;7.5
200010650;CA du Grand Dole;35.1
200010700;CA Caux Seine Agglo;24.5
200011773;CA Annemasse-Les Voirons-Agglomération;29.7
200011781;CC Portes du Berry entre Loire et Val d'Aubois;34.3
200013050;CC Sauer-Pechelbronn;53.8
200015162;CC de l'Oriente;62.4
200016905;CC du Pays de Lamastre;59.1
200017341;CC Lodévois et Larzac;75.2
200017846;CA Étampois Sud Essonne;11.3
200018083;CC de Desvres-Samer;12
200018166;CC Le Grésivaudan;70.8
200018406;CC du Romorantinais et du Monestois;42.3
200018521;CC du Val de Bouzanne;7.6
200018653;CA CAP Excellence;16.3
200022986;CC du Grand Pic Saint-Loup;69.8
200023075;CC du Pays de Maîche;45.2
200023125;CC Les Portes Briardes Entre Villes et Forêts;32.7
200023240;CC Pays de Nemours;31.2
200023299;CC Coeur de Tarentaise;93.8
200023307;CA du Grand Villeneuvois;7.6
200023372;CC de la Vallée de Chamonix-Mont-Blanc;94.6
200023414;Métropole Rouen Normandie;33.9
200023620;CC de la Gascogne Toulousaine;5.6
200023737;CA du Grand Cahors;62.9
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;5.4
200023794;CC de Blaye;15.3
200023919;CC Gâtinais Val de Loing;15
200026573;CC Haut-Jura Saint-Claude;74.6
200027027;CC Arc Sud Bretagne;10.1
200027076;CC Arnon Boischaut Cher;25.5
200027100;CC Méditerranée Porte des Maures;74.8
200027183;CU Perpignan Méditerranée Métropole;25
200027217;CC Sarlat-Périgord Noir;52
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;41
200027548;CC des Savanes;17.3
200029734;CC des 4B Sud Charente;22.4
200029999;CC Rives de l'Ain - Pays du Cerdon;47.1
200030195;Métropole Nice Côte d'Azur;86.8
200030385;CA de Blois ''Agglopolys'';27.3
200030435;CC d'Aire-sur-l'Adour;21.5
200030526;CC du Ried de Marckolsheim;22.1
200030633;CA du Caudrésis et du Catésis;4
200030658;CC du Trièves;69.9
200030674;CA Val de Garonne Agglomération;10.6
200032514;CC Berry-Loire-Vauvise;16.5
200033025;CA de Bar-le-Duc - Sud Meuse;44.6
200033090;CC Plaines et Monts de France;11.7
200033116;CC Cluses-Arve et Montagnes;78.8
200033173;CC de la Haute Vallée de Chevreuse;45.1
200033181;CA Chartres Métropole;5.8
200033298;CC des Coëvrons;11.9
200033579;CU d'Arras;1.8
200033827;CC de Fium'Orbu Castellu;79.9
200033868;CC des Ballons des Hautes-Vosges;72.4
200034023;CC Tarn-Agout;4.2
200034031;CC des Monts d'Alban et du Villefranchois;36.2
200034049;CC Centre Tarn;22.9
200034056;CC du Lautrécois et du Pays d'Agout;10.1
200034064;CC du Cordais et du Causse;43
200034098;CC des Montagnes du Giffre;86.8
200034130;CC Gally Mauldre;23.7
200034197;CC de Montaigne Montravel et Gurson;34.3
200034205;CC de la Costa Verde;77.9
200034270;CC du Pays de Barr;46.1
200034379;CC Pays d'Uzès;55.1
200034411;CC du Piémont Cévenol;60.4
200034601;CC Causses Aigoual Cévennes;92.1
200034635;CC du Kochersberg;0.9
200034692;CA du Gard Rhodanien;46.8
200034700;CA Durance-Lubéron-Verdon Agglomération;48.7
200034718;CC de Vitry, Champagne et Der;14.8
200034726;CC Bastides de Lomagne;2.5
200034825;CA du Grand Guéret;35.2
200034833;CC des Bastides Dordogne-Périgord;47.9
200034874;CC Côtes de Meuse Woëvre;39
200034882;CC Pays du Mont-Blanc;80.7
200034957;CC du Frontonnais;11
200035087;CA Terre de Provence;16.1
200035103;CC de la Vallée de la Haute Sarthe;7.7
200035111;CC des Sources de l'Orne;18
200035129;CC de Cèze Cévennes;62.6
200035137;CC Marche Occitane - Val d'Anglin;16.9
200035202;CC Charlieu-Belmont;17.8
200035319;Estérel Côte d'Azur Agglomération;63.5
200035327;CC Cazals-Salviac;56.9
200035442;CC du Sud Artois;2.7
200035533;CC du Grand Saint Emilionnais;10.6
200035541;CC des Landes d'Armagnac;76.4
200035632;CC Armagnac Adour;14.7
200035707;CC Piège Lauragais Malepère;11.4
200035715;CA Carcassonne Agglo;37.2
200035723;CC Ventoux Sud;61.3
200035731;CA Roannais Agglomération;19.5
200035756;CC Astarac Arros en Gascogne;15.8
200035764;CC de la Beauce Loirétaine;11.2
200035772;CC du Pays du Saintois;16.8
200035814;CA Flers Agglo;9.7
200035848;CC du Châtillonnais en Berry;10.2
200035855;CC Castelnaudary Lauragais Audois;12
200035863;CC Région Lézignanaise, Corbières et Minervois;56.5
200035970;CC Vexin Centre;17.6
200036069;CC du Pays de Mortagne-au-Perche;10.1
200036077;CC du Golfe de Saint-Tropez;65.8
200036135;CC Coeur de France;24.4
200036150;CC des Hauts du Val de Saône;32.7
200036465;CC de Thann-Cernay;53.7
200036473;CA "Saintes - Grandes Rives - L'Agglo";18.6
200036499;CC de Marana-Golo;58.7
200036523;CC des Bastides en Haut Agenais Périgord;12
200036549;CC Val de Gray;37.1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);5.3
200037133;CC du Provinois;13.8
200038958;CC de la Pieve de l'Ornano et du Taravo;88.5
200038990;CC de Saint-Méen Montauban;5.3
200039022;CA Vitré Communauté;7.6
200039055;CC Ouche et Montagne;48.9
200039063;CC Forêts, Seine et Suzon;51
200039204;CC de Lacq-Orthez;24.6
200039519;CC du Quercy Blanc;28.1
200039642;CC Le Tonnerrois en Bourgogne;38.8
200039709;CC du Serein;28.4
200039758;CC Avallon, Vézelay, Morvan;44.5
200039808;CC des Gorges de l'Ardèche;73.7
200039824;CC Ardèche des Sources et Volcans;90.2
200039832;CC Pays des Vans en Cévennes;82.1
200039857;CA du Pays de Grasse;77.4
200039865;Metz Métropole;20.1
200039907;CC du Sud Messin;14.6
200039915;CA Cannes Pays de Lérins;38.5
200039931;CC Alpes d'Azur;97.1
200039949;CC Rives de Moselle;16.4
200040038;CC Saône Doubs Bresse;23.8
200040095;CC Isle Vern Salembre en Périgord;50.7
200040111;CC Coeur de Chartreuse;72.7
200040137;CC des Lacs de Champagne;17.3
200040178;CC de l'Outre-Forêt;29.7
200040202;CC Provence Verdon;74.1
200040210;CC Lacs et Gorges du Verdon;84.3
200040244;CA du Bocage Bressuirais;3.8
200040251;CC Bassée-Montois;25.2
200040277;CA Agglo du Pays de Dreux;17.5
200040293;CC du Clunisois;28.8
200040350;CC Bugey Sud;54.5
200040384;CC Isle Double Landais;49.8
200040392;CA Le Grand Périgueux;49
200040400;CC du Périgord Ribéracois;29.2
200040418;CC du Pays de Serres en Quercy;16.6
200040426;CC du Val de l'Oise;2.3
200040442;CA Luberon Monts de Vaucluse;48
200040459;CA Montélimar Agglomération;30.8
200040475;LBN Communauté;8.3
200040491;CC Porte de Dromardèche;24
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;67.8
200040558;CC Écueillé-Valençay;19.4
200040566;CA de l'Ouest Rhodanien;44.2
200040574;CC Beaujolais Pierres Dorées;18
200040590;CA Villefranche Beaujolais Saône;20.6
200040624;CC Pays d'Apt-Luberon;55.7
200040657;CC de la Matheysine;80.6
200040681;CC Enclave des Papes - Pays de Grignan;39.2
200040715;Grenoble-Alpes-Métropole;54.7
200040764;CC du Sud Corse;78.4
200040772;CC du Perche et Haut Vendômois;20.3
200040798;CC Val Vanoise;96.6
200040814;CC Briance Sud Haute Vienne;26.2
200040830;CC du Pays de Fénelon;53.1
200040889;CC de Portes Sud Périgord;9.6
200040905;CC Carmausin-Ségala;19.7
200040947;CA Coeur de Flandre;4.9
200040954;CC des Hauts de Flandre;1.4
200041010;CC Coeur de Savoie;51.4
200041051;CC Vallée de la Dordogne et Forêt Bessède;49.5
200041150;CC Terrassonnais Haut Périgord Noir;45.7
200041168;CC de la Vallée de l'Homme;59.1
200041283;CC de la Plaine du Rhin;19.5
200041317;CA du Niortais;4.5
200041325;CC du Pays Rhénan;26.5
200041333;CC de Parthenay-Gâtine;8.2
200041366;CC Rhône Crussol;48.9
200041416;CC Airvaudais-Val du Thouet;11
200041440;CC de Domme- Villefranche du Périgord;58.1
200041465;CC Val Eyrieux;76
200041499;CC Aunis Atlantique;6.4
200041507;CA La Riviéra du Levant;27.1
200041515;CC du Bassin de Pont-à-Mousson;34.8
200041523;CC de la Haute Saintonge;26.4
200041556;CC Portes de la Creuse en Marche;13.1
200041572;CC Dronne et Belle;50.8
200041614;CC Aunis Sud;2.6
200041622;CC Ardennes Thiérache;26.1
200041630;Ardenne Métropole;43.8
200041689;Vals de Saintonge Communauté;11.9
200041721;CC de la Haute Comté;49.9
200041762;CA Rochefort Océan;4.4
200041788;CA du Pays Nord Martinique;52.2
200041853;CC du Pays de Montbozon et du Chanois;47.1
200041861;CC du Triangle Vert;43.8
200041879;CC Terres de Saône;40.7
200041887;CC du Val Marnaysien;29.3
200041960;CC Pévèle-Carembault;8.6
200041994;CC Haut Val de Sèvre;6.4
200042000;CC Bruyères-Vallons des Vosges;53.9
200042174;CA Lorient Agglomération;24.7
200042182;CC du Mont des Avaloirs;11.4
200042190;CA de la Porte du Hainaut;18.2
200042372;CC des Coteaux Arrats Gimone;4.3
200042414;CC Bresse Revermont 71;15.4
200042463;CC de la Montagne Noire;66.5
200042497;CC Dombes Saône Vallée;6.5
200042604;CC de Granville, Terre et Mer;4.9
200042620;CC de la Région de Suippes;30
200042646;CC Grand Orb Communauté de Communes en Languedoc;78.3
200042653;CC Sud-Hérault;34.5
200042703;CC de l'Argonne Champenoise;29.6
200042729;CC de la Baie du Cotentin;0.5
200042901;CC Drôme Sud Provence;20.4
200042935;CA Haut-Bugey Agglomération;65.6
200042943;CC du Cap Corse;91.7
200042992;CC Perthois-Bocage et Der;21.1
200043016;CC Val de Charente;14.2
200043065;CC du Val d'Amboise;29.8
200043081;CC Chinon, Vienne et Loire;30.4
200043123;CC Auray Quiberon Terre Atlantique;23.2
200043156;CC du Pays Rethélois;4
200043172;CA du Bassin de Brive;30.6
200043263;CC Coeur de l'Avesnois;14.2
200043321;CC du Pays de Mormal;23.1
200043354;CC de Villedieu Intercom;1.9
