Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200000172;CC Faucigny - Glières;57.2
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;64.4
200000545;CC des Portes de Romilly sur Seine;73.2
200000628;CC Rhône Lez Provence;66.1
200000800;CC Coeur de Sologne;71.8
200000925;CC de la Plaine Dijonnaise;55.2
200000933;CC Sauldre et Sologne;46.8
200004802;CC du Pays de Fayence;74.8
200005932;CC des Portes de Sologne;51.4
200005957;CC de la Région de Rambervillers;55.9
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;54.2
200006716;CC du Nogentais;43.6
200006930;CC du Haut Allier Margeride;77.5
200006971;CC du Perche;59.1
200007052;CC de la Marche Berrichonne;64.5
200007177;CC Pays de Nérondes;70.8
200010650;CA du Grand Dole;62.4
200010700;CA Caux Seine Agglo;55.8
200011773;CA Annemasse-Les Voirons-Agglomération;73.8
200011781;CC Portes du Berry entre Loire et Val d'Aubois;61.2
200013050;CC Sauer-Pechelbronn;67
200015162;CC de l'Oriente;54.5
200016905;CC du Pays de Lamastre;65.4
200017341;CC Lodévois et Larzac;79.2
200017846;CA Étampois Sud Essonne;71.5
200018083;CC de Desvres-Samer;62.3
200018166;CC Le Grésivaudan;53.9
200018406;CC du Romorantinais et du Monestois;68
200018521;CC du Val de Bouzanne;61.1
200018653;CA CAP Excellence;73.5
200022986;CC du Grand Pic Saint-Loup;69.7
200023075;CC du Pays de Maîche;56.8
200023125;CC Les Portes Briardes Entre Villes et Forêts;65.1
200023240;CC Pays de Nemours;67.8
200023299;CC Coeur de Tarentaise;78.5
200023307;CA du Grand Villeneuvois;65.1
200023372;CC de la Vallée de Chamonix-Mont-Blanc;83.5
200023414;Métropole Rouen Normandie;68.7
200023620;CC de la Gascogne Toulousaine;56.8
200023737;CA du Grand Cahors;77.8
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;64
200023794;CC de Blaye;69.1
200023919;CC Gâtinais Val de Loing;63.9
200026573;CC Haut-Jura Saint-Claude;54.6
200027027;CC Arc Sud Bretagne;64.7
200027076;CC Arnon Boischaut Cher;64.6
200027100;CC Méditerranée Porte des Maures;73.2
200027183;CU Perpignan Méditerranée Métropole;72.8
200027217;CC Sarlat-Périgord Noir;74.2
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;50.6
200027548;CC des Savanes;69.7
200029734;CC des 4B Sud Charente;54.1
200029999;CC Rives de l'Ain - Pays du Cerdon;57.8
200030195;Métropole Nice Côte d'Azur;73.8
200030385;CA de Blois ''Agglopolys'';66.8
200030435;CC d'Aire-sur-l'Adour;66.6
200030526;CC du Ried de Marckolsheim;57.5
200030633;CA du Caudrésis et du Catésis;65.8
200030658;CC du Trièves;75.5
200030674;CA Val de Garonne Agglomération;59.5
200032514;CC Berry-Loire-Vauvise;55.3
200033025;CA de Bar-le-Duc - Sud Meuse;72.6
200033090;CC Plaines et Monts de France;61.3
200033116;CC Cluses-Arve et Montagnes;45.8
200033173;CC de la Haute Vallée de Chevreuse;71
200033181;CA Chartres Métropole;65.3
200033298;CC des Coëvrons;49.1
200033579;CU d'Arras;69.7
200033827;CC de Fium'Orbu Castellu;78.4
200033868;CC des Ballons des Hautes-Vosges;63.4
200034023;CC Tarn-Agout;68.6
