Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200000172;CC Faucigny - Glières;84
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;109
200000545;CC des Portes de Romilly sur Seine;122
200000628;CC Rhône Lez Provence;119
200000800;CC Coeur de Sologne;123
200000925;CC de la Plaine Dijonnaise;98
200000933;CC Sauldre et Sologne;135
200004802;CC du Pays de Fayence;116
200005932;CC des Portes de Sologne;111
200005957;CC de la Région de Rambervillers;118
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;110
200006716;CC du Nogentais;108
200006930;CC du Haut Allier Margeride;140
200006971;CC du Perche;133
200007052;CC de la Marche Berrichonne;160
200007177;CC Pays de Nérondes;131
200010650;CA du Grand Dole;118
200010700;CA Caux Seine Agglo;105
200011773;CA Annemasse-Les Voirons-Agglomération;79
200011781;CC Portes du Berry entre Loire et Val d'Aubois;123
200013050;CC Sauer-Pechelbronn;107
200015162;CC de l'Oriente;112
200016905;CC du Pays de Lamastre;125
200017341;CC Lodévois et Larzac;123
200017846;CA Étampois Sud Essonne;97
200018083;CC de Desvres-Samer;107
200018166;CC Le Grésivaudan;106
200018406;CC du Romorantinais et du Monestois;125
200018521;CC du Val de Bouzanne;127
200018653;CA CAP Excellence;102
200022986;CC du Grand Pic Saint-Loup;114
200023075;CC du Pays de Maîche;96
200023125;CC Les Portes Briardes Entre Villes et Forêts;95
200023240;CC Pays de Nemours;109
200023299;CC Coeur de Tarentaise;91
200023307;CA du Grand Villeneuvois;128
200023372;CC de la Vallée de Chamonix-Mont-Blanc;91
200023414;Métropole Rouen Normandie;98
200023620;CC de la Gascogne Toulousaine;97
200023737;CA du Grand Cahors;125
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;164
200023794;CC de Blaye;111
200023919;CC Gâtinais Val de Loing;113
200026573;CC Haut-Jura Saint-Claude;112
200027027;CC Arc Sud Bretagne;139
200027076;CC Arnon Boischaut Cher;128
200027100;CC Méditerranée Porte des Maures;129
200027183;CU Perpignan Méditerranée Métropole;117
200027217;CC Sarlat-Périgord Noir;132
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;123
200027548;CC des Savanes;103
200029734;CC des 4B Sud Charente;126
200029999;CC Rives de l'Ain - Pays du Cerdon;101
200030195;Métropole Nice Côte d'Azur;106
200030385;CA de Blois ''Agglopolys'';114
200030435;CC d'Aire-sur-l'Adour;132
200030526;CC du Ried de Marckolsheim;95
200030633;CA du Caudrésis et du Catésis;109
200030658;CC du Trièves;122
200030674;CA Val de Garonne Agglomération;125
200032514;CC Berry-Loire-Vauvise;130
200033025;CA de Bar-le-Duc - Sud Meuse;122
200033090;CC Plaines et Monts de France;83
200033116;CC Cluses-Arve et Montagnes;91
200033173;CC de la Haute Vallée de Chevreuse;109
200033181;CA Chartres Métropole;105
200033298;CC des Coëvrons;121
200033579;CU d'Arras;100
200033827;CC de Fium'Orbu Castellu;104
200033868;CC des Ballons des Hautes-Vosges;128
200034023;CC Tarn-Agout;107
200034031;CC des Monts d'Alban et du Villefranchois;123
200034049;CC Centre Tarn;114
200034056;CC du Lautrécois et du Pays d'Agout;114
200034064;CC du Cordais et du Causse;147
200034098;CC des Montagnes du Giffre;98
200034130;CC Gally Mauldre;114
200034197;CC de Montaigne Montravel et Gurson;125
200034205;CC de la Costa Verde;127
200034270;CC du Pays de Barr;99
200034379;CC Pays d'Uzès;133
200034411;CC du Piémont Cévenol;119
200034601;CC Causses Aigoual Cévennes;144
200034635;CC du Kochersberg;101
200034692;CA du Gard Rhodanien;113
200034700;CA Durance-Lubéron-Verdon Agglomération;117
200034718;CC de Vitry, Champagne et Der;120
200034726;CC Bastides de Lomagne;123
200034825;CA du Grand Guéret;119
200034833;CC des Bastides Dordogne-Périgord;147
200034874;CC Côtes de Meuse Woëvre;111
200034882;CC Pays du Mont-Blanc;100
200034957;CC du Frontonnais;93
200035087;CA Terre de Provence;107
200035103;CC de la Vallée de la Haute Sarthe;125
200035111;CC des Sources de l'Orne;120
200035129;CC de Cèze Cévennes;148
200035137;CC Marche Occitane - Val d'Anglin;153
200035202;CC Charlieu-Belmont;125
200035319;Estérel Côte d'Azur Agglomération;135
200035327;CC Cazals-Salviac;160
200035442;CC du Sud Artois;104
200035533;CC du Grand Saint Emilionnais;110
200035541;CC des Landes d'Armagnac;136
200035632;CC Armagnac Adour;139
200035707;CC Piège Lauragais Malepère;118
200035715;CA Carcassonne Agglo;118
200035723;CC Ventoux Sud;101
200035731;CA Roannais Agglomération;123
200035756;CC Astarac Arros en Gascogne;136
200035764;CC de la Beauce Loirétaine;95
200035772;CC du Pays du Saintois;104
200035814;CA Flers Agglo;125
200035848;CC du Châtillonnais en Berry;168
200035855;CC Castelnaudary Lauragais Audois;104
200035863;CC Région Lézignanaise, Corbières et Minervois;130
200035970;CC Vexin Centre;96
200036069;CC du Pays de Mortagne-au-Perche;131
200036077;CC du Golfe de Saint-Tropez;118
200036135;CC Coeur de France;139
200036150;CC des Hauts du Val de Saône;139
200036465;CC de Thann-Cernay;103
200036473;CA "Saintes - Grandes Rives - L'Agglo";124
200036499;CC de Marana-Golo;87
200036523;CC des Bastides en Haut Agenais Périgord;140
200036549;CC Val de Gray;125
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);114
200037133;CC du Provinois;108
200038958;CC de la Pieve de l'Ornano et du Taravo;120
200038990;CC de Saint-Méen Montauban;105
200039022;CA Vitré Communauté;100
200039055;CC Ouche et Montagne;110
200039063;CC Forêts, Seine et Suzon;117
200039204;CC de Lacq-Orthez;119
200039519;CC du Quercy Blanc;142
200039642;CC Le Tonnerrois en Bourgogne;136
200039709;CC du Serein;115
200039758;CC Avallon, Vézelay, Morvan;129
200039808;CC des Gorges de l'Ardèche;131
200039824;CC Ardèche des Sources et Volcans;139
200039832;CC Pays des Vans en Cévennes;148
200039857;CA du Pays de Grasse;107
200039865;Metz Métropole;92
200039907;CC du Sud Messin;98
200039915;CA Cannes Pays de Lérins;120
200039931;CC Alpes d'Azur;123
200039949;CC Rives de Moselle;96
200040038;CC Saône Doubs Bresse;109
200040095;CC Isle Vern Salembre en Périgord;129
200040111;CC Coeur de Chartreuse;108
200040137;CC des Lacs de Champagne;124
200040178;CC de l'Outre-Forêt;99
200040202;CC Provence Verdon;122
200040210;CC Lacs et Gorges du Verdon;160
200040244;CA du Bocage Bressuirais;118
200040251;CC Bassée-Montois;106
200040277;CA Agglo du Pays de Dreux;109
200040293;CC du Clunisois;128
200040350;CC Bugey Sud;119
200040384;CC Isle Double Landais;140
200040392;CA Le Grand Périgueux;113
200040400;CC du Périgord Ribéracois;144
200040418;CC du Pays de Serres en Quercy;147
200040426;CC du Val de l'Oise;115
200040442;CA Luberon Monts de Vaucluse;117
200040459;CA Montélimar Agglomération;109
200040475;LBN Communauté;107
200040491;CC Porte de Dromardèche;112
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;123
200040558;CC Écueillé-Valençay;162
200040566;CA de l'Ouest Rhodanien;119
200040574;CC Beaujolais Pierres Dorées;106
200040590;CA Villefranche Beaujolais Saône;104
200040624;CC Pays d'Apt-Luberon;138
200040657;CC de la Matheysine;119
200040681;CC Enclave des Papes - Pays de Grignan;132
200040715;Grenoble-Alpes-Métropole;90
200040764;CC du Sud Corse;91
200040772;CC du Perche et Haut Vendômois;125
200040798;CC Val Vanoise;91
200040814;CC Briance Sud Haute Vienne;112
200040830;CC du Pays de Fénelon;133
200040889;CC de Portes Sud Périgord;149
200040905;CC Carmausin-Ségala;131
200040947;CA Coeur de Flandre;105
200040954;CC des Hauts de Flandre;107
200041010;CC Coeur de Savoie;103
