name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,poverty_rate_50_plus,poverty_rate_30_minus,library_distance,library_distance_and_mjc,public_service_distance,public_service_distance_and_ml,menseul_rate,menseul_rate_50_plus,fammono_rate,fammono_rate_25_minus,obstacle_to_mobility_rate,unemployement_rate,unemployement_rate_50_plus,unemployement_rate_25_minus,foreigners_rate,foreigners_rate_55_plus,foreigners_rate_25_minus,social_assistance_rate,aah_rate,older_65_rate,older_75_rate,nscol15p_rate,nscol15p_rate_50_plus,nscol15p_rate_15_25_year,neet_16_25_year_rate,total,population,population_density,area,is_zrr,number_of_qpv,percentage_of_qpv,digital_mediation_center_count,france_services_center_count,conseillers_numerique_center_count,aidants_connect_center_count,aging_index
Sans objet,epci,ZZZZZZZZZ,8.902582908163266,7.215720663265306,2.577168367346939,8.0,1.9724170918367347,5.324936224489796,9.155133928571429,9.716198979591837,9.886479591836734,7.633928571428571,6.053730867346939,4.468112244897959,10.0,7.690688775510204,6.639508928571429,9.769770408163266,2.2302295918367347,2.5661670918367347,1.3630420918367347,5.247289540816326,2.6906887755102042,1.3630420918367347,9.622927295918368,8.870376275510203,7.0551658163265305,3.2849170918367347,2.7697704081632653,2.0,5.8596426293731785,6273,65.0,96.33895341270909,False,0,0.0,2,1,0,0,
CA Intercommunale du Nord de la Réunion (CINOR),epci,249740119,4.725512786521729,5.879727156595724,9.525440478199041,8.0,10.0,4.209279568078286,1.2744872134782714,9.308689050109667,10.0,5.695162573212177,6.964274868037311,9.524886114391766,10.0,4.208194943237967,9.785572079346332,10.0,10.0,4.3226686591626695,3.176538359565186,8.176538359565185,10.0,6.634438043818844,1.8258719178577456,3.839827424136518,5.20103641929186,6.052090915664393,6.5031164887078505,10.0,6.958334050677807,207487,722.0,287.0,True,15,3.0,35,5,7,0,44.0
CA Territoire de la Côte Ouest (TCO),epci,249740101,3.9395770106221546,6.02375284522003,9.628679817905917,8.0,10.0,5.041459597875569,1.3094271623672231,7.306804817905918,10.0,3.418138277693475,2.4800455235204857,9.451479514415782,10.0,5.803897951441578,9.776617033383914,10.0,10.0,2.6294338012139606,1.317915402124431,6.284370257966616,10.0,6.797538884673748,1.5988429438543248,3.8452864188163884,6.630870637329287,6.139477427921093,9.07171851289833,10.0,6.660547637112508,210928,393.0,536.0,False,10,5.0,66,8,55,0,44.0
CA Intercommunale de la Réunion Est (CIREST),epci,249740093,3.487359384484403,6.052060258724666,10.0,8.0,10.0,5.329799058753045,1.4936107147643336,9.721039313220814,10.0,3.044736821360157,2.789930076545293,9.881043412453785,10.0,7.063120304604542,9.9978715521115,10.0,10.0,2.8216675995049387,1.0,6.482487603761834,10.0,8.175943808975743,1.2753186759477506,3.50094203526917,8.183448558567791,10.0,9.452082331517584,10.0,7.06258791109169,126876,172.0,737.0,True,6,2.0,12,5,1,0,35.0
CA du Sud,epci,249740085,5.728926735068984,5.8482585328400924,10.0,8.0,10.0,4.421775513211264,1.0399246178544008,3.4317489123100904,10.0,4.243751114833686,4.2311486470766155,9.549452083478746,10.0,6.5112879334279485,9.999720806868151,10.0,10.0,2.3330153633776165,1.0,5.615574323538308,10.0,7.990189463561419,1.9443552577495482,4.384425676461692,7.834438472813569,9.223610432516693,10.0,10.0,6.9047001388210285,128964,228.0,565.0,True,7,4.0,25,4,15,0,47.0
CA CIVIS (Communauté Intercommunale des VIlles Solidaires),epci,249740077,5.457311769951449,5.866843548049718,9.919385025266148,8.0,10.0,5.464864091244372,1.0618938051148812,3.1463730142128963,10.0,3.6869915118954566,2.9481741217398962,9.593600343487498,10.0,5.821331454427356,9.93265112899497,10.0,10.0,2.678481388922528,1.4675778626710556,6.261755089009501,10.0,7.704077813129589,1.6696134664714366,4.097959992513734,7.197395219798972,7.9614787577202115,9.065879140840885,10.0,6.750129948052234,181704,480.0,378.0,True,11,2.0,24,7,10,0,45.0
CC de l'Est Guyanais,epci,249730052,9.167323388685618,10.0,10.0,10.0,10.0,10.0,9.348860118209963,10.0,10.0,1.4869124683366168,1.5892203771460738,7.813537855333521,7.677174218969885,10.0,9.225724739656629,10.0,9.483816493104419,8.451449479313256,10.0,9.101885730368702,10.0,3.5325077399380804,1.0,1.8326766113143822,10.0,10.0,10.0,10.0,8.203967472156327,7106,0.0,25853.23211469819,True,0,0.0,3,3,0,0,10.0
CA du Centre Littoral,epci,249730045,7.595452815171125,10.0,10.0,10.0,10.0,8.57817766550161,4.087005571512614,10.0,10.0,3.9852995120600756,4.492182579506523,9.88074886666436,10.0,6.626556389936671,9.512184655846628,9.835761497733328,9.048482541440288,9.926802090182372,10.0,10.0,9.819081565560438,4.252801328857667,1.0738900231857977,2.9112087759975083,6.154742706855383,4.782683323528394,10.0,10.0,7.9486807824836,144501,29.0,4982.0,True,23,9.0,16,11,3,0,22.0
CC de l'Ouest Guyanais,epci,249730037,9.285771627759585,10.0,10.0,10.0,10.0,9.381535861413331,9.74794549487694,10.0,10.0,1.2752825604732227,1.0,9.929713742473856,10.0,9.368617302207669,9.151948875039611,9.1731065807542,8.909020809126439,9.993577690926376,10.0,9.990366536389564,10.0,1.0151051019330306,1.0,1.1220872504489279,9.246857505017429,10.0,10.0,10.0,8.199676319244292,94676,2.0,47335.0,True,6,3.0,10,6,4,0,6.0
CA du Centre de la Martinique,epci,249720061,5.2103728511117,10.0,8.816309245957601,7.871716459886341,10.0,7.699960561959747,1.1044008973770472,3.6338339593852838,1.1044008973770472,8.021412916281445,9.320062325034105,10.0,10.0,5.402461968152166,9.234430055665824,9.743432919772681,9.084714203513219,4.800133184201509,4.049575556173346,8.777278516612466,9.871716459886342,7.514944431154759,5.116187052685342,7.242647391593879,4.6626948465472315,3.3189696973615304,2.184919152017482,9.737665914542292,6.9115800522946556,154706,910.0,170.0,False,5,3.0,13,7,2,0,93.0
CA de l'Espace Sud de la Martinique,epci,249720053,8.381806645632881,10.0,9.71049863975733,7.849912648953091,10.0,5.8125472608276185,1.0,4.442465646267372,2.2051141647762336,6.802491025875032,7.572118936490139,9.977358260975377,10.0,7.587833433287267,9.347118284616656,10.0,8.776563844489061,3.194736338904679,1.9432174736860404,6.96686744369986,10.0,7.167957376165767,5.269362815398121,6.4631517648388135,6.294551206835111,5.569885183350282,3.9039138484003026,10.0,7.008552580115252,115066,288.0,399.0,False,0,0.0,16,5,4,0,102.0
CA Grand Sud Caraïbe,epci,249710070,7.554629452622188,10.0,2.2754349072835023,10.0,10.0,6.152055056394571,1.322194609061365,7.0649461543363286,8.697903523864143,7.157267571528707,7.701459249346843,9.954795131587332,10.0,8.51257248454725,9.887402026381189,10.0,9.864181482189512,6.253030013381762,5.108443254954438,8.939336009685848,10.0,8.710482380679284,6.01884916841904,6.994303192506213,7.558937105715924,7.299025043012808,5.026776269674377,10.0,7.787643717399023,78477,229.0,342.0,False,5,10.0,20,9,7,0,108.0
CA du Nord Basse-Terre,epci,249710062,5.8394603884272955,10.0,2.0,10.0,10.0,7.334479060331572,1.8473038803964388,9.81585238212149,9.447350398635464,6.096732093708408,6.5767744769928544,9.973562134153433,10.0,8.082621561203789,9.941374097093902,10.0,10.0,6.171729832405122,6.545529726446911,9.051661088785227,10.0,7.044799648528861,3.795242217886263,5.46585432038145,5.788303247231519,5.099923761774929,3.695447673441962,10.0,7.486214356783818,77398,164.0,471.0,False,2,3.0,9,6,0,0,73.0
CC de Marie-Galante,epci,249710047,8.772761404167449,10.0,2.0,10.0,10.0,5.1940116388211,1.0,9.131218321757087,10.0,8.429791627557725,10.0,10.0,10.0,9.797446968274826,10.0,10.0,9.072742631875352,6.486953256992678,4.554721231462362,9.772761404167449,10.0,9.227238595832551,7.131218321757086,9.227238595832551,10.0,9.536324385207434,10.0,10.0,8.547658156560916,10655,67.0,159.0,False,0,0.0,1,0,0,0,137.0
CC du Vexin-Val de Seine,epci,249500513,2.760452857314005,5.927938181382532,3.725829639391398,9.0,6.0,5.348448544387205,3.772313406014137,5.946028513238289,4.542889660956032,5.2461363364082905,4.89313525817659,6.583503054989817,5.72217563196358,6.1326224991014735,5.754522582963939,3.688870252785432,7.344435126392716,6.371271115370792,8.85030549898167,8.46495746974961,4.089912543428777,3.839583083742662,3.72588954115251,5.240026356774889,4.212711153707919,4.102432011501138,4.0,7.655564873607284,5.462212685481525,16694,82.0,203.0,False,0,0.0,1,1,0,0,72.0
CC du Haut Val d'Oise,epci,249500489,2.8154323679552626,5.753738809224534,5.199471564528127,5.0,5.02991047379627,3.1082779673190877,1.0,2.493189338942616,1.0,4.028037862658082,4.019393068773568,7.43372752225329,7.013800887566375,3.461944950362979,6.637098222302029,5.7558679424364465,7.334940871662006,8.775594489905856,9.679373060051818,9.875663750865762,4.826334556088551,4.145524972423877,1.7635123002334352,4.4156170638483445,4.940435574481184,6.374470923222943,6.307185183285021,8.134186696765257,5.2258118007483105,38986,812.0,48.0,False,1,9.0,3,1,2,0,44.0
CC de la Vallée de l'Oise et des Trois Forêts,epci,249500455,2.195579854037187,6.646310957526369,2.1918663125048354,9.0,3.0,3.5833612708564355,1.0,3.0017020398689946,1.018180880418805,4.234365732263971,3.721768058385125,6.9044020940248085,6.20176908992444,3.4274698919462567,4.396368981612811,3.9718131882301364,1.777883797096217,7.827139799365603,8.885292828222916,9.82951233978905,3.4166903061092917,2.301286845294891,4.272171648141939,6.004667715398303,2.0929932692059725,1.255254403383449,1.642648992959744,2.241044949325631,4.144340901639042,38783,517.0,75.0,False,0,0.0,0,0,0,0,72.0
CC Sausseron Impressionnistes,epci,249500430,2.1556212404065547,6.131559842356357,2.3320887782617716,9.0,6.0,4.004252229827837,1.0,2.9488176726820163,1.0999792574154739,3.1342045218834267,1.9940365069487658,5.179890064302012,5.422733872640531,3.6290707322132336,3.28583281476872,2.723397635345364,1.6443165318398671,6.727286869943995,8.320472930927194,8.759852727649864,2.9243414229412985,1.5049782202862476,4.390064302012031,5.400954158888197,2.0270172163451567,1.2516075503007675,1.0,1.6443165318398671,3.7727390582866627,19285,160.0,120.0,False,0,0.0,1,1,0,0,79.0
CA de Cergy-Pontoise,epci,249500109,2.3346850589995016,5.049645053301361,5.928716256321375,5.629739547472637,7.894688857760156,3.0106650205370498,1.0,1.9320496687955555,1.0,5.232607611766661,3.7858971010707756,7.783954984686246,6.815218784871436,2.6908711033025474,6.196937249222441,5.179690875851754,3.8874047342054654,9.134884493933853,9.761442579358484,9.97268691089532,5.957586837294333,3.4941712766210022,1.6802155796671336,3.6187753745340583,2.2859184690994563,1.6314917258244497,2.108017759206059,5.0491274721622075,4.644538942384332,210633,2421.0,87.0,False,10,9.0,5,3,1,0,38.0
CC Le Dourdannais en Hurepoix (CCDH),epci,249100595,3.798206106870229,5.83293893129771,5.175687022900763,8.0,2.0,3.9073664122137406,2.57706106870229,4.866679389312977,3.2741603053435115,4.422709923664122,4.892328244274809,6.715419847328245,7.033091603053435,5.060801526717557,4.298091603053435,2.0,4.793015267175573,7.7164503816793895,8.26820610687023,9.623320610687022,3.784083969465649,3.6111068702290074,4.419160305343511,5.927977099236641,3.111412213740458,1.4026717557251909,3.0018320610687024,4.195954198473283,4.77534760087241,26202,181.0,144.0,False,0,0.0,1,1,0,0,69.0
CC Entre Juine et Renarde (CCEJR),epci,249100553,2.969384044796742,5.829066976947131,2.533997527452549,8.0,2.0,3.7624900007272197,1.59802923423751,4.345865755217802,2.057341284270235,3.612064577121664,1.112864518944077,5.5372700167260565,2.3059413860810123,4.103956075921751,3.1282088575376337,2.133335757399462,1.859646571158461,7.305105083266671,7.381099556395898,9.510399243691367,2.961930041451531,2.4894189513489926,3.96891135190168,5.900007272198385,2.858192131481347,1.9924369136790052,1.480837757254018,3.836666424260054,3.806230975409581,27502,227.0,121.0,False,0,0.0,2,2,0,0,74.0
CC du Val d'Essonne (CCVE),epci,249100546,2.74735738185208,5.696053135351988,3.0007157957817987,9.23396534216703,1.0,3.469229104589416,1.439149035340336,4.197692807084714,2.0174454413796545,3.4872904632696886,2.1908511311237993,5.580110865114111,6.776804887387012,3.2754149118572404,3.2668919481297753,1.2020042281890366,2.3985484327401663,7.038053701330049,7.956735971234997,9.352704209877981,2.360577963477769,2.4209045661112314,3.347743578645981,5.223095234131806,2.545353153663043,1.662710369050988,1.940289314667155,2.985517620228722,3.850471806920627,60076,311.0,193.0,False,0,0.0,1,1,0,0,65.0
CC des Deux Vallées,epci,249100157,2.477684346701164,6.67480595084088,4.526142733937042,9.536330314790858,5.0726606295817165,5.129096593359207,1.5327188443294524,7.434292798620095,6.380228546787408,4.528352738249246,2.532718844329452,5.657988357050453,4.475905562742561,5.946474773609315,3.6922703751617076,1.0,5.163917636912462,6.663163001293661,6.954075032341526,9.196366968520914,3.174320827943079,1.7469814575247953,5.8180250107805085,7.082470892626132,3.8631953428201813,2.1052177662785683,2.2482751185855974,4.336244070720138,4.819640162015647,18552,98.0,189.0,False,0,0.0,15,2,1,0,100.0
CC du Pays de Limours (CCPL),epci,249100074,2.5854807944047575,6.473725548864869,3.8365186819762878,8.0,2.0,3.4786251262295695,1.0,6.665033474211766,4.402849983169391,2.6494371096233684,1.4905561581329243,4.238658039421027,2.355499869095261,3.1978157609305455,1.874742865691738,1.0,1.1453790627220706,7.558290010098365,9.268953136103526,9.386505591502413,1.9945020009724352,2.0097243520215433,3.7079702285222726,5.475408609791675,1.3357519542207428,1.0623106556457345,1.0,1.6306990313049332,3.600872787309186,26737,224.0,119.0,False,0,0.0,0,0,0,0,69.0
CC du Sud Territoire,epci,249000241,4.724619235501252,6.066352721564635,5.537355224640448,9.0,2.0,4.654617962750838,10.0,4.269059437444318,2.7832930295702347,5.762377497772687,7.532009672903143,6.6480845106274655,7.800305460099275,5.2360103517033645,7.648593610792924,10.0,8.567392134402443,6.677909295320521,9.17216070595223,8.544312926901702,5.280471766153324,3.7883416062110222,5.374146196597514,6.929362352042764,7.765432098765432,8.884985787620382,7.5227185948835436,7.341733486063383,6.625415916653032,23572,136.0,173.0,False,0,0.0,3,1,1,0,88.0
CC du Jovinien,epci,248900938,8.542584050596794,6.936183365828142,8.186884778163488,5.0,8.0,5.829901564506158,6.107375529031338,6.553045793903657,4.688810689999524,6.84949355651719,8.725426791573542,6.535070616767321,9.559655713538447,7.375338817823006,6.7928099291454656,9.232678681820344,5.0986732607351755,6.524323553188454,7.89248181083266,8.457035522373864,7.4330210661467495,6.790860240620096,6.730990536877645,7.91212135622236,8.179371344334015,5.48376052118503,10.0,9.450663369632412,7.316734373620103,21031,59.0,356.0,True,1,10.0,8,0,1,0,103.0
CC Yonne Nord,epci,248900896,6.66890124264225,6.923234139960758,6.3766350555918905,9.0,5.0,4.815647482014389,5.570266514061478,5.862737083060824,3.8960922171353825,4.982014388489208,5.170618051013735,4.6460513407455855,6.680019620667102,6.498160562459123,5.607995421844342,4.814911706998038,8.0,5.704545454545454,6.876389797253107,8.066751144538914,3.635464355788097,3.0848185088293003,5.595855134074559,6.755109548724657,7.853539895356442,7.5702256376716806,9.277060170045782,8.277060170045782,6.186075165841353,24464,65.0,376.0,False,0,0.0,5,3,2,0,86.0
