Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020
200000172;CC Faucigny - Glières;-4.9
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;-2.5
200000545;CC des Portes de Romilly sur Seine;2
200000628;CC Rhône Lez Provence;1
200000800;CC Coeur de Sologne;-19.7
200000925;CC de la Plaine Dijonnaise;2.9
200000933;CC Sauldre et Sologne;-8.5
200004802;CC du Pays de Fayence;-1.3
200005932;CC des Portes de Sologne;-23.3
200005957;CC de la Région de Rambervillers;1.8
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;-1.5
200006716;CC du Nogentais;-8.1
200006930;CC du Haut Allier Margeride;15.6
200006971;CC du Perche;-1
200007052;CC de la Marche Berrichonne;-3.2
200007177;CC Pays de Nérondes;-2.9
200010650;CA du Grand Dole;-6.6
200010700;CA Caux Seine Agglo;-2.3
200011773;CA Annemasse-Les Voirons-Agglomération;8.2
200011781;CC Portes du Berry entre Loire et Val d'Aubois;2.3
200013050;CC Sauer-Pechelbronn;6.4
200015162;CC de l'Oriente;-13.7
200016905;CC du Pays de Lamastre;-7.4
200017341;CC Lodévois et Larzac;-13.9
200017846;CA Étampois Sud Essonne;-3.7
200018083;CC de Desvres-Samer;-6.9
200018166;CC Le Grésivaudan;2.9
200018406;CC du Romorantinais et du Monestois;-0.3
200018521;CC du Val de Bouzanne;0.4
200018653;CA CAP Excellence;-0.7
200022986;CC du Grand Pic Saint-Loup;13.4
200023075;CC du Pays de Maîche;0.9
200023125;CC Les Portes Briardes Entre Villes et Forêts;-14.4
200023240;CC Pays de Nemours;-10.7
200023299;CC Coeur de Tarentaise;65.4
200023307;CA du Grand Villeneuvois;-8.2
200023372;CC de la Vallée de Chamonix-Mont-Blanc;-25.2
200023414;Métropole Rouen Normandie;-6.9
200023620;CC de la Gascogne Toulousaine;-1
200023737;CA du Grand Cahors;3.2
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;0.8
200023794;CC de Blaye;-12.7
200023919;CC Gâtinais Val de Loing;6.8
200026573;CC Haut-Jura Saint-Claude;13.7
200027027;CC Arc Sud Bretagne;2.5
200027076;CC Arnon Boischaut Cher;-2.8
200027100;CC Méditerranée Porte des Maures;11.6
200027183;CU Perpignan Méditerranée Métropole;-10.6
200027217;CC Sarlat-Périgord Noir;-1.7
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;1.6
200027548;CC des Savanes;120
200029734;CC des 4B Sud Charente;-4.2
200029999;CC Rives de l'Ain - Pays du Cerdon;-4.4
200030195;Métropole Nice Côte d'Azur;2.8
200030385;CA de Blois ''Agglopolys'';-2.6
200030435;CC d'Aire-sur-l'Adour;-0.8
200030526;CC du Ried de Marckolsheim;-5.7
200030633;CA du Caudrésis et du Catésis;-2.3
200030658;CC du Trièves;3.1
200030674;CA Val de Garonne Agglomération;-1.8
200032514;CC Berry-Loire-Vauvise;-2.2
200033025;CA de Bar-le-Duc - Sud Meuse;-1.9
200033090;CC Plaines et Monts de France;-3.3
200033116;CC Cluses-Arve et Montagnes;-8.1
200033173;CC de la Haute Vallée de Chevreuse;-7.7
200033181;CA Chartres Métropole;0.9
200033298;CC des Coëvrons;-3.5
200033579;CU d'Arras;-3.4
200033827;CC de Fium'Orbu Castellu;20.1
200033868;CC des Ballons des Hautes-Vosges;6.2
200034023;CC Tarn-Agout;-3.3
200034031;CC des Monts d'Alban et du Villefranchois;4.3
200034049;CC Centre Tarn;-2.9
200034056;CC du Lautrécois et du Pays d'Agout;-1.3
200034064;CC du Cordais et du Causse;-0.9
200034098;CC des Montagnes du Giffre;2.9
200034130;CC Gally Mauldre;-4.9
200034197;CC de Montaigne Montravel et Gurson;-11
200034205;CC de la Costa Verde;9.9
200034270;CC du Pays de Barr;0.9
200034379;CC Pays d'Uzès;-8.9
200034411;CC du Piémont Cévenol;13.7
200034601;CC Causses Aigoual Cévennes;-1.1
200034635;CC du Kochersberg;-1.6
200034692;CA du Gard Rhodanien;-3.1
200034700;CA Durance-Lubéron-Verdon Agglomération;4.3
200034718;CC de Vitry, Champagne et Der;-2
200034726;CC Bastides de Lomagne;2.3
200034825;CA du Grand Guéret;0.1
200034833;CC des Bastides Dordogne-Périgord;-2.7
200034874;CC Côtes de Meuse Woëvre;8.1
200034882;CC Pays du Mont-Blanc;9.7
200034957;CC du Frontonnais;6.3
200035087;CA Terre de Provence;-4.9
200035103;CC de la Vallée de la Haute Sarthe;1.2
200035111;CC des Sources de l'Orne;4.6
200035129;CC de Cèze Cévennes;6.2
200035137;CC Marche Occitane - Val d'Anglin;-8.1
200035202;CC Charlieu-Belmont;-2.2
200035319;Estérel Côte d'Azur Agglomération;17.6
200035327;CC Cazals-Salviac;2.3
200035442;CC du Sud Artois;0
200035533;CC du Grand Saint Emilionnais;-2.8
200035541;CC des Landes d'Armagnac;-3.4
200035632;CC Armagnac Adour;-0.8
200035707;CC Piège Lauragais Malepère;-0.9
200035715;CA Carcassonne Agglo;-4.5
200035723;CC Ventoux Sud;38.2
200035731;CA Roannais Agglomération;1
200035756;CC Astarac Arros en Gascogne;-1.1
200035764;CC de la Beauce Loirétaine;-1.3
200035772;CC du Pays du Saintois;0.9
200035814;CA Flers Agglo;0.9
200035848;CC du Châtillonnais en Berry;2.5
200035855;CC Castelnaudary Lauragais Audois;-1.8
200035863;CC Région Lézignanaise, Corbières et Minervois;-5.8
200035970;CC Vexin Centre;8.1
200036069;CC du Pays de Mortagne-au-Perche;-1.5
200036077;CC du Golfe de Saint-Tropez;29
200036135;CC Coeur de France;3.7
200036150;CC des Hauts du Val de Saône;5.7
200036465;CC de Thann-Cernay;4.6
200036473;CA "Saintes - Grandes Rives - L'Agglo";1
200036499;CC de Marana-Golo;7.5
200036523;CC des Bastides en Haut Agenais Périgord;0.9
200036549;CC Val de Gray;0.6
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);-2.8
200037133;CC du Provinois;0.2
200038958;CC de la Pieve de l'Ornano et du Taravo;27.2
200038990;CC de Saint-Méen Montauban;2
200039022;CA Vitré Communauté;-1.3
200039055;CC Ouche et Montagne;1.1
200039063;CC Forêts, Seine et Suzon;-3.1
200039204;CC de Lacq-Orthez;-1.2
200039519;CC du Quercy Blanc;-1.9
200039642;CC Le Tonnerrois en Bourgogne;-0.9
200039709;CC du Serein;-2.8
200039758;CC Avallon, Vézelay, Morvan;0.5
200039808;CC des Gorges de l'Ardèche;14.9
200039824;CC Ardèche des Sources et Volcans;-32
200039832;CC Pays des Vans en Cévennes;10.2
200039857;CA du Pays de Grasse;-16.2
200039865;Metz Métropole;13.9
200039907;CC du Sud Messin;-0.2
200039915;CA Cannes Pays de Lérins;46.9
200039931;CC Alpes d'Azur;-18
200039949;CC Rives de Moselle;-0.2
200040038;CC Saône Doubs Bresse;-3.7
200040095;CC Isle Vern Salembre en Périgord;-8.7
200040111;CC Coeur de Chartreuse;5.1
200040137;CC des Lacs de Champagne;0.6
200040178;CC de l'Outre-Forêt;1.7
200040202;CC Provence Verdon;19.4
200040210;CC Lacs et Gorges du Verdon;36.8
200040244;CA du Bocage Bressuirais;-1.8
200040251;CC Bassée-Montois;1.4
200040277;CA Agglo du Pays de Dreux;-2.4
200040293;CC du Clunisois;0.4
200040350;CC Bugey Sud;-0.4
200040384;CC Isle Double Landais;-4.1
200040392;CA Le Grand Périgueux;-5.5
200040400;CC du Périgord Ribéracois;1
200040418;CC du Pays de Serres en Quercy;2.6
200040426;CC du Val de l'Oise;1.6
200040442;CA Luberon Monts de Vaucluse;-1.4
200040459;CA Montélimar Agglomération;-3
200040475;LBN Communauté;-2.4
200040491;CC Porte de Dromardèche;-2.3
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;-10.6
200040558;CC Écueillé-Valençay;-2.3
