date_mesure,geocode_epci,libelle_epci,numerateur,denominateur,valeur
2019-01-01T00:00:00.000,200069102,Communauté de communes Randon - Margeride,5953.725,37921.81528662421,15.699999999999998
2021-01-01T00:00:00.000,200041762,Communauté d'agglomération Rochefort Océan,803.08,23901.19047619048,3.3599999999999994
2010-01-01T00:00:00.000,200066041,Communauté de communes Sundgau,100.287,21337.65957446809,0.47
2012-01-01T00:00:00.000,200007052,Communauté de communes de la Marche Berrichonne,657.69,21493.13725490196,3.06
2021-01-01T00:00:00.000,242900744,Communauté de communes Poher communauté,1225.216,19294.74015748031,6.3500000000000005
2024-01-01T00:00:00.000,200042414,Communauté de communes Bresse Revermont 71,737.379,17108.561484918795,4.3100000000000005
2022-01-01T00:00:00.000,245804497,Communauté de communes du Nivernais Bourbonnais,1779.071,14428.799675587996,12.33
2011-01-01T00:00:00.000,200071678,Communauté d'agglomération Cholet Agglomération,3054.982,55952.05128205128,5.46
2020-01-01T00:00:00.000,247400773,Communauté de communes des Sources du Lac d'Annecy,127.57,2230.244755244755,5.72
2015-01-01T00:00:00.000,200041416,Communauté de communes Airvaudais-Val du Thouet,994.88,17423.467600700526,5.71
2012-01-01T00:00:00.000,200069649,Communauté de communes Chalosse Tursan,393.267,35113.12499999999,1.12
2024-01-01T00:00:00.000,240300657,Communauté de communes du Pays d'Huriel,953.693,25845.338753387532,3.6900000000000004
2020-01-01T00:00:00.000,245501176,Communauté de communes du Territoire de Fresnes-en-Woëvre,611.842,15411.637279596976,3.97
2014-01-01T00:00:00.000,241100593,Communauté d'agglomération Le Grand Narbonne,2509.127,23964.9188156638,10.469999999999999
2022-01-01T00:00:00.000,244500427,Communauté de communes des Loges,1046.168,17066.362153344206,6.130000000000001
2010-01-01T00:00:00.000,243800984,Communauté d'agglomération du Pays Voironnais,517.688,14340.38781163435,3.6099999999999994
2019-01-01T00:00:00.000,243301504,Communauté d'agglomération du Bassin d'Arcachon Nord,147.1,2912.871287128713,5.05
2023-01-01T00:00:00.000,242101491,Communauté de communes du Montbardois,4048.404,23374.15704387991,17.32
2010-01-01T00:00:00.000,200073252,Communauté de communes de la Castagniccia-Casinca,113.65,9165.322580645163,1.2399999999999998
2008-01-01T00:00:00.000,246600415,Communauté de communes Roussillon-Conflent,483.889,4988.546391752578,9.7
