Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200000172;CC Faucigny - Glières;8.9
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;7.9
200000545;CC des Portes de Romilly sur Seine;26.2
200000628;CC Rhône Lez Provence;21.2
200000800;CC Coeur de Sologne;10.4
200000925;CC de la Plaine Dijonnaise;5.9
200000933;CC Sauldre et Sologne;13
200004802;CC du Pays de Fayence;14.8
200005932;CC des Portes de Sologne;6.9
200005957;CC de la Région de Rambervillers;18.9
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;9.7
200006716;CC du Nogentais;14.5
200006930;CC du Haut Allier Margeride;16.4
200006971;CC du Perche;14.8
200007052;CC de la Marche Berrichonne;20.5
200007177;CC Pays de Nérondes;16.9
200010650;CA du Grand Dole;13.7
200010700;CA Caux Seine Agglo;12.2
200011773;CA Annemasse-Les Voirons-Agglomération;17
200011781;CC Portes du Berry entre Loire et Val d'Aubois;14.5
200013050;CC Sauer-Pechelbronn;6.4
200015162;CC de l'Oriente;26.8
200016905;CC du Pays de Lamastre;20.6
200017341;CC Lodévois et Larzac;24.4
200017846;CA Étampois Sud Essonne;12.9
200018083;CC de Desvres-Samer;14.5
200018166;CC Le Grésivaudan;5.6
200018406;CC du Romorantinais et du Monestois;16.4
200018521;CC du Val de Bouzanne;13.8
200018653;CA CAP Excellence;N/A - résultat non disponible
200022986;CC du Grand Pic Saint-Loup;7.1
200023075;CC du Pays de Maîche;7.2
200023125;CC Les Portes Briardes Entre Villes et Forêts;8.9
200023240;CC Pays de Nemours;14.7
200023299;CC Coeur de Tarentaise;17.5
200023307;CA du Grand Villeneuvois;19.8
200023372;CC de la Vallée de Chamonix-Mont-Blanc;14.9
200023414;Métropole Rouen Normandie;18.2
200023620;CC de la Gascogne Toulousaine;8.1
200023737;CA du Grand Cahors;14.8
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;8.2
200023794;CC de Blaye;15.6
200023919;CC Gâtinais Val de Loing;13.2
200026573;CC Haut-Jura Saint-Claude;14
200027027;CC Arc Sud Bretagne;9.2
200027076;CC Arnon Boischaut Cher;14.1
200027100;CC Méditerranée Porte des Maures;13.1
200027183;CU Perpignan Méditerranée Métropole;23.4
200027217;CC Sarlat-Périgord Noir;15.3
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;10.5
200027548;CC des Savanes;N/A - résultat non disponible
200029734;CC des 4B Sud Charente;15.6
200029999;CC Rives de l'Ain - Pays du Cerdon;9.7
200030195;Métropole Nice Côte d'Azur;18.2
200030385;CA de Blois ''Agglopolys'';15.4
200030435;CC d'Aire-sur-l'Adour;14
200030526;CC du Ried de Marckolsheim;7.5
200030633;CA du Caudrésis et du Catésis;22.1
200030658;CC du Trièves;10.9
200030674;CA Val de Garonne Agglomération;18.2
200032514;CC Berry-Loire-Vauvise;15.3
200033025;CA de Bar-le-Duc - Sud Meuse;14.1
200033090;CC Plaines et Monts de France;5
200033116;CC Cluses-Arve et Montagnes;12.1
200033173;CC de la Haute Vallée de Chevreuse;5
200033181;CA Chartres Métropole;11.6
200033298;CC des Coëvrons;13
200033579;CU d'Arras;15.5
200033827;CC de Fium'Orbu Castellu;20.6
200033868;CC des Ballons des Hautes-Vosges;15.3
200034023;CC Tarn-Agout;9.7
200034031;CC des Monts d'Alban et du Villefranchois;16.8
200034049;CC Centre Tarn;15.3
200034056;CC du Lautrécois et du Pays d'Agout;12.4
200034064;CC du Cordais et du Causse;23.6
200034098;CC des Montagnes du Giffre;9
200034130;CC Gally Mauldre;5
200034197;CC de Montaigne Montravel et Gurson;17.8
200034205;CC de la Costa Verde;22.3
200034270;CC du Pays de Barr;8
200034379;CC Pays d'Uzès;16.4
200034411;CC du Piémont Cévenol;18.6
200034601;CC Causses Aigoual Cévennes;28.3
200034635;CC du Kochersberg;5
200034692;CA du Gard Rhodanien;17.2
200034700;CA Durance-Lubéron-Verdon Agglomération;16
200034718;CC de Vitry, Champagne et Der;17.6
200034726;CC Bastides de Lomagne;13.4
200034825;CA du Grand Guéret;15.3
200034833;CC des Bastides Dordogne-Périgord;17.1
200034874;CC Côtes de Meuse Woëvre;12.3
200034882;CC Pays du Mont-Blanc;9.3
200034957;CC du Frontonnais;8.2
200035087;CA Terre de Provence;14.9
200035103;CC de la Vallée de la Haute Sarthe;14.4
200035111;CC des Sources de l'Orne;13.7
200035129;CC de Cèze Cévennes;26.3
200035137;CC Marche Occitane - Val d'Anglin;19.2
200035202;CC Charlieu-Belmont;10.3
200035319;Estérel Côte d'Azur Agglomération;14.9
200035327;CC Cazals-Salviac;20
200035442;CC du Sud Artois;13.4
200035533;CC du Grand Saint Emilionnais;12.3
200035541;CC des Landes d'Armagnac;15.2
200035632;CC Armagnac Adour;17.9
200035707;CC Piège Lauragais Malepère;18.1
200035715;CA Carcassonne Agglo;21.4
200035723;CC Ventoux Sud;16.9
200035731;CA Roannais Agglomération;15.2
200035756;CC Astarac Arros en Gascogne;15.3
200035764;CC de la Beauce Loirétaine;7.9
200035772;CC du Pays du Saintois;7.6
200035814;CA Flers Agglo;15
200035848;CC du Châtillonnais en Berry;15.5
200035855;CC Castelnaudary Lauragais Audois;15.8
200035863;CC Région Lézignanaise, Corbières et Minervois;21.7
200035970;CC Vexin Centre;5.2
200036069;CC du Pays de Mortagne-au-Perche;14.5
200036077;CC du Golfe de Saint-Tropez;15.6
200036135;CC Coeur de France;16.6
200036150;CC des Hauts du Val de Saône;17.6
200036465;CC de Thann-Cernay;11.9
200036473;CA "Saintes - Grandes Rives - L'Agglo";12.9
200036499;CC de Marana-Golo;16.5
200036523;CC des Bastides en Haut Agenais Périgord;18.6
200036549;CC Val de Gray;15.4
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);16.7
200037133;CC du Provinois;15.2
200038958;CC de la Pieve de l'Ornano et du Taravo;13.6
200038990;CC de Saint-Méen Montauban;8.9
200039022;CA Vitré Communauté;7.6
200039055;CC Ouche et Montagne;5.4
200039063;CC Forêts, Seine et Suzon;6
200039204;CC de Lacq-Orthez;12.2
200039519;CC du Quercy Blanc;18.4
200039642;CC Le Tonnerrois en Bourgogne;17.4
200039709;CC du Serein;13
200039758;CC Avallon, Vézelay, Morvan;15
200039808;CC des Gorges de l'Ardèche;15.5
200039824;CC Ardèche des Sources et Volcans;19.2
200039832;CC Pays des Vans en Cévennes;23.1
200039857;CA du Pays de Grasse;12.4
200039865;Metz Métropole;18.5
200039907;CC du Sud Messin;5.8
200039915;CA Cannes Pays de Lérins;17.5
200039931;CC Alpes d'Azur;18.2
200039949;CC Rives de Moselle;14.1
200040038;CC Saône Doubs Bresse;9.3
200040095;CC Isle Vern Salembre en Périgord;14.4
200040111;CC Coeur de Chartreuse;8.7
200040137;CC des Lacs de Champagne;14.7
200040178;CC de l'Outre-Forêt;7.6
200040202;CC Provence Verdon;15.5
200040210;CC Lacs et Gorges du Verdon;20
200040244;CA du Bocage Bressuirais;13.5
200040251;CC Bassée-Montois;8.6
200040277;CA Agglo du Pays de Dreux;15.3
200040293;CC du Clunisois;12.6
200040350;CC Bugey Sud;11.9
200040384;CC Isle Double Landais;17
200040392;CA Le Grand Périgueux;13.8
200040400;CC du Périgord Ribéracois;18.7
200040418;CC du Pays de Serres en Quercy;22.6
200040426;CC du Val de l'Oise;13.7
200040442;CA Luberon Monts de Vaucluse;18.8
200040459;CA Montélimar Agglomération;15.6
200040475;LBN Communauté;10.1
200040491;CC Porte de Dromardèche;14.2
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;15.8
200040558;CC Écueillé-Valençay;14.7
200040566;CA de l'Ouest Rhodanien;13.4
200040574;CC Beaujolais Pierres Dorées;5.6
200040590;CA Villefranche Beaujolais Saône;16.9
200040624;CC Pays d'Apt-Luberon;20.1
200040657;CC de la Matheysine;12.2
200040681;CC Enclave des Papes - Pays de Grignan;18.6
200040715;Grenoble-Alpes-Métropole;15
200040764;CC du Sud Corse;19.1
200040772;CC du Perche et Haut Vendômois;11.7
200040798;CC Val Vanoise;14.6
200040814;CC Briance Sud Haute Vienne;13
200040830;CC du Pays de Fénelon;15.7
200040889;CC de Portes Sud Périgord;18.1
200040905;CC Carmausin-Ségala;18
200040947;CA Coeur de Flandre;10.8
200040954;CC des Hauts de Flandre;10.4
200041010;CC Coeur de Savoie;7.1
200041051;CC Vallée de la Dordogne et Forêt Bessède;19.5
200041150;CC Terrassonnais Haut Périgord Noir;18.6
200041168;CC de la Vallée de l'Homme;20.8
200041283;CC de la Plaine du Rhin;7.9
200041317;CA du Niortais;10.9
200041325;CC du Pays Rhénan;6.5
200041333;CC de Parthenay-Gâtine;14.6
200041366;CC Rhône Crussol;8.3
200041416;CC Airvaudais-Val du Thouet;14
200041440;CC de Domme- Villefranche du Périgord;20
200041465;CC Val Eyrieux;15.4
200041499;CC Aunis Atlantique;8.5
200041507;CA La Riviéra du Levant;N/A - résultat non disponible
200041515;CC du Bassin de Pont-à-Mousson;12.5
200041523;CC de la Haute Saintonge;16.2
200041556;CC Portes de la Creuse en Marche;20.1
200041572;CC Dronne et Belle;15.6
200041614;CC Aunis Sud;10.8
200041622;CC Ardennes Thiérache;19.6
200041630;Ardenne Métropole;22.1
200041689;Vals de Saintonge Communauté;15.7
200041721;CC de la Haute Comté;16.9
200041762;CA Rochefort Océan;13.3
200041788;CA du Pays Nord Martinique;30.6
200041853;CC du Pays de Montbozon et du Chanois;9.9
200041861;CC du Triangle Vert;10.9
200041879;CC Terres de Saône;11.8
200041887;CC du Val Marnaysien;6.2
200041960;CC Pévèle-Carembault;7.4
200041994;CC Haut Val de Sèvre;9.9
200042000;CC Bruyères-Vallons des Vosges;13.6
200042174;CA Lorient Agglomération;12.7
200042182;CC du Mont des Avaloirs;14.5
200042190;CA de la Porte du Hainaut;23
200042372;CC des Coteaux Arrats Gimone;13.2
200042414;CC Bresse Revermont 71;13
200042463;CC de la Montagne Noire;21.2
200042497;CC Dombes Saône Vallée;5.5
200042604;CC de Granville, Terre et Mer;10
200042620;CC de la Région de Suippes;11.9
200042646;CC Grand Orb Communauté de Communes en Languedoc;22.1
200042653;CC Sud-Hérault;18.8
200042703;CC de l'Argonne Champenoise;13.9
200042729;CC de la Baie du Cotentin;13
200042901;CC Drôme Sud Provence;15
200042935;CA Haut-Bugey Agglomération;17.7
200042943;CC du Cap Corse;19.6
200042992;CC Perthois-Bocage et Der;10.3
200043016;CC Val de Charente;19.5
200043065;CC du Val d'Amboise;11.2
