Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200000172;CC Faucigny - Glières;15
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;11.8
200000545;CC des Portes de Romilly sur Seine;25
200000628;CC Rhône Lez Provence;22
200000800;CC Coeur de Sologne;14.5
200000925;CC de la Plaine Dijonnaise;10.1
200000933;CC Sauldre et Sologne;18.8
200004802;CC du Pays de Fayence;15.1
200005932;CC des Portes de Sologne;11.5
200005957;CC de la Région de Rambervillers;19.4
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;12.7
200006716;CC du Nogentais;22.7
200006930;CC du Haut Allier Margeride;18.7
200006971;CC du Perche;15.6
200007052;CC de la Marche Berrichonne;13.7
200007177;CC Pays de Nérondes;19.3
200010650;CA du Grand Dole;15.9
200010700;CA Caux Seine Agglo;17.7
200011773;CA Annemasse-Les Voirons-Agglomération;17.5
200011781;CC Portes du Berry entre Loire et Val d'Aubois;15.5
200013050;CC Sauer-Pechelbronn;11.5
200015162;CC de l'Oriente;16
200016905;CC du Pays de Lamastre;15.2
200017341;CC Lodévois et Larzac;21.3
200017846;CA Étampois Sud Essonne;15.2
200018083;CC de Desvres-Samer;15
200018166;CC Le Grésivaudan;10.2
200018406;CC du Romorantinais et du Monestois;20.7
200018521;CC du Val de Bouzanne;15.1
200018653;CA CAP Excellence;22.2
200022986;CC du Grand Pic Saint-Loup;11.3
200023075;CC du Pays de Maîche;12
200023125;CC Les Portes Briardes Entre Villes et Forêts;12.7
200023240;CC Pays de Nemours;18.4
200023299;CC Coeur de Tarentaise;11
200023307;CA du Grand Villeneuvois;21.2
200023372;CC de la Vallée de Chamonix-Mont-Blanc;9.2
200023414;Métropole Rouen Normandie;15.3
200023620;CC de la Gascogne Toulousaine;11.1
200023737;CA du Grand Cahors;18
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;14.6
200023794;CC de Blaye;21.3
200023919;CC Gâtinais Val de Loing;18.4
200026573;CC Haut-Jura Saint-Claude;17.3
200027027;CC Arc Sud Bretagne;12.5
200027076;CC Arnon Boischaut Cher;19.4
200027100;CC Méditerranée Porte des Maures;17.8
200027183;CU Perpignan Méditerranée Métropole;24.3
200027217;CC Sarlat-Périgord Noir;18.4
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;12.6
200027548;CC des Savanes;25.9
200029734;CC des 4B Sud Charente;18.4
200029999;CC Rives de l'Ain - Pays du Cerdon;13.9
200030195;Métropole Nice Côte d'Azur;14.7
200030385;CA de Blois ''Agglopolys'';14.3
200030435;CC d'Aire-sur-l'Adour;17.9
200030526;CC du Ried de Marckolsheim;11.8
200030633;CA du Caudrésis et du Catésis;25.7
200030658;CC du Trièves;10.3
200030674;CA Val de Garonne Agglomération;18.1
200032514;CC Berry-Loire-Vauvise;19.6
200033025;CA de Bar-le-Duc - Sud Meuse;18.7
200033090;CC Plaines et Monts de France;11.6
200033116;CC Cluses-Arve et Montagnes;15.2
200033173;CC de la Haute Vallée de Chevreuse;7.8
200033181;CA Chartres Métropole;14.9
200033298;CC des Coëvrons;10.3
200033579;CU d'Arras;17.1
200033827;CC de Fium'Orbu Castellu;23.2
200033868;CC des Ballons des Hautes-Vosges;17.4
200034023;CC Tarn-Agout;16.2
200034031;CC des Monts d'Alban et du Villefranchois;11.3
200034049;CC Centre Tarn;15.1
200034056;CC du Lautrécois et du Pays d'Agout;13.8
200034064;CC du Cordais et du Causse;17.8
200034098;CC des Montagnes du Giffre;6.8
200034130;CC Gally Mauldre;9
200034197;CC de Montaigne Montravel et Gurson;23.2
200034205;CC de la Costa Verde;19.6
200034270;CC du Pays de Barr;11.7
200034379;CC Pays d'Uzès;17.6
200034411;CC du Piémont Cévenol;20.1
200034601;CC Causses Aigoual Cévennes;16.8
200034635;CC du Kochersberg;8.3
200034692;CA du Gard Rhodanien;20.7
200034700;CA Durance-Lubéron-Verdon Agglomération;16.7
200034718;CC de Vitry, Champagne et Der;20.6
200034726;CC Bastides de Lomagne;14
200034825;CA du Grand Guéret;18.3
200034833;CC des Bastides Dordogne-Périgord;16.7
200034874;CC Côtes de Meuse Woëvre;12.1
200034882;CC Pays du Mont-Blanc;8.6
200034957;CC du Frontonnais;11.1
200035087;CA Terre de Provence;16.1
200035103;CC de la Vallée de la Haute Sarthe;9.3
200035111;CC des Sources de l'Orne;13.7
