Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200000172;CC Faucigny - Glières;42.1
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;32.5
200000545;CC des Portes de Romilly sur Seine;39.7
200000628;CC Rhône Lez Provence;48
200000800;CC Coeur de Sologne;54.2
200000925;CC de la Plaine Dijonnaise;46.2
200000933;CC Sauldre et Sologne;54.9
200004802;CC du Pays de Fayence;42.3
200005932;CC des Portes de Sologne;52.2
200005957;CC de la Région de Rambervillers;58.3
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;48.9
200006716;CC du Nogentais;54.1
200006930;CC du Haut Allier Margeride;69.6
200006971;CC du Perche;51.1
200007052;CC de la Marche Berrichonne;59.7
200007177;CC Pays de Nérondes;54.6
200010650;CA du Grand Dole;43.4
200010700;CA Caux Seine Agglo;47.1
200011773;CA Annemasse-Les Voirons-Agglomération;29.1
200011781;CC Portes du Berry entre Loire et Val d'Aubois;46.4
200013050;CC Sauer-Pechelbronn;52.4
200015162;CC de l'Oriente;67.2
200016905;CC du Pays de Lamastre;72
200017341;CC Lodévois et Larzac;61.5
200017846;CA Étampois Sud Essonne;44
200018083;CC de Desvres-Samer;55.9
200018166;CC Le Grésivaudan;46.5
200018406;CC du Romorantinais et du Monestois;48.9
200018521;CC du Val de Bouzanne;64.2
200018653;CA CAP Excellence;41.5
200022986;CC du Grand Pic Saint-Loup;54.8
200023075;CC du Pays de Maîche;53
200023125;CC Les Portes Briardes Entre Villes et Forêts;36.3
200023240;CC Pays de Nemours;43
200023299;CC Coeur de Tarentaise;35.7
200023307;CA du Grand Villeneuvois;45.4
200023372;CC de la Vallée de Chamonix-Mont-Blanc;47.9
200023414;Métropole Rouen Normandie;38.6
200023620;CC de la Gascogne Toulousaine;48.4
200023737;CA du Grand Cahors;51.9
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;47.2
200023794;CC de Blaye;48.9
200023919;CC Gâtinais Val de Loing;45.4
200026573;CC Haut-Jura Saint-Claude;51.1
200027027;CC Arc Sud Bretagne;45.9
