Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Indice de concentration de l'emploi 2022
200000172;CC Faucigny - Glières;98.7
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;56.7
200000545;CC des Portes de Romilly sur Seine;112.8
200000628;CC Rhône Lez Provence;86.1
200000800;CC Coeur de Sologne;92.4
200000925;CC de la Plaine Dijonnaise;43
200000933;CC Sauldre et Sologne;96.5
200004802;CC du Pays de Fayence;57.5
200005932;CC des Portes de Sologne;60.9
200005957;CC de la Région de Rambervillers;76.6
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;118.9
200006716;CC du Nogentais;106.1
200006930;CC du Haut Allier Margeride;114.2
200006971;CC du Perche;128.3
200007052;CC de la Marche Berrichonne;79.9
200007177;CC Pays de Nérondes;52.8
200010650;CA du Grand Dole;110.2
200010700;CA Caux Seine Agglo;81.5
200011773;CA Annemasse-Les Voirons-Agglomération;64.1
200011781;CC Portes du Berry entre Loire et Val d'Aubois;43.9
200013050;CC Sauer-Pechelbronn;46
200015162;CC de l'Oriente;87.7
200016905;CC du Pays de Lamastre;81.5
200017341;CC Lodévois et Larzac;88.8
200017846;CA Étampois Sud Essonne;70.1
200018083;CC de Desvres-Samer;66.1
200018166;CC Le Grésivaudan;82.8
200018406;CC du Romorantinais et du Monestois;97
200018521;CC du Val de Bouzanne;55.4
200018653;CA CAP Excellence;183
200022986;CC du Grand Pic Saint-Loup;57.4
200023075;CC du Pays de Maîche;52.7
200023125;CC Les Portes Briardes Entre Villes et Forêts;61.1
200023240;CC Pays de Nemours;88.9
200023299;CC Coeur de Tarentaise;153.8
200023307;CA du Grand Villeneuvois;109.1
200023372;CC de la Vallée de Chamonix-Mont-Blanc;114.3
200023414;Métropole Rouen Normandie;118
200023620;CC de la Gascogne Toulousaine;73.9
200023737;CA du Grand Cahors;120.5
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;89.9
200023794;CC de Blaye;76.9
200023919;CC Gâtinais Val de Loing;50.2
200026573;CC Haut-Jura Saint-Claude;96
200027027;CC Arc Sud Bretagne;76.9
200027076;CC Arnon Boischaut Cher;61.5
200027100;CC Méditerranée Porte des Maures;83
200027183;CU Perpignan Méditerranée Métropole;115.1
200027217;CC Sarlat-Périgord Noir;135.1
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;63.5
200027548;CC des Savanes;106.1
200029734;CC des 4B Sud Charente;95.2
200029999;CC Rives de l'Ain - Pays du Cerdon;53.8
200030195;Métropole Nice Côte d'Azur;96.8
200030385;CA de Blois ''Agglopolys'';118.6
200030435;CC d'Aire-sur-l'Adour;111.3
200030526;CC du Ried de Marckolsheim;46.8
200030633;CA du Caudrésis et du Catésis;70.6
200030658;CC du Trièves;63.8
200030674;CA Val de Garonne Agglomération;104.7
200032514;CC Berry-Loire-Vauvise;46.8
200033025;CA de Bar-le-Duc - Sud Meuse;128
200033090;CC Plaines et Monts de France;30.4
200033116;CC Cluses-Arve et Montagnes;99.2
200033173;CC de la Haute Vallée de Chevreuse;53.3
200033181;CA Chartres Métropole;100.2
200033298;CC des Coëvrons;86.3
200033579;CU d'Arras;135.9
200033827;CC de Fium'Orbu Castellu;93.4
200033868;CC des Ballons des Hautes-Vosges;77.9
200034023;CC Tarn-Agout;83.9
200034031;CC des Monts d'Alban et du Villefranchois;60.8
200034049;CC Centre Tarn;58
200034056;CC du Lautrécois et du Pays d'Agout;48
200034064;CC du Cordais et du Causse;73.3
200034098;CC des Montagnes du Giffre;62.9
200034130;CC Gally Mauldre;47.3
200034197;CC de Montaigne Montravel et Gurson;54
200034205;CC de la Costa Verde;72.2
200034270;CC du Pays de Barr;58.4
200034379;CC Pays d'Uzès;85.6
200034411;CC du Piémont Cévenol;63.1
200034601;CC Causses Aigoual Cévennes;83.5
200034635;CC du Kochersberg;34.5
200034692;CA du Gard Rhodanien;93.7
200034700;CA Durance-Lubéron-Verdon Agglomération;93.4
200034718;CC de Vitry, Champagne et Der;117.5
200034726;CC Bastides de Lomagne;64.4
200034825;CA du Grand Guéret;126.6
200034833;CC des Bastides Dordogne-Périgord;90.7
200034874;CC Côtes de Meuse Woëvre;55.8
200034882;CC Pays du Mont-Blanc;94.4
200034957;CC du Frontonnais;74.6
200035087;CA Terre de Provence;72.5
200035103;CC de la Vallée de la Haute Sarthe;52.8
200035111;CC des Sources de l'Orne;74.1
200035129;CC de Cèze Cévennes;77
200035137;CC Marche Occitane - Val d'Anglin;74.6
200035202;CC Charlieu-Belmont;70.7
200035319;Estérel Côte d'Azur Agglomération;99.7
200035327;CC Cazals-Salviac;63.2
200035442;CC du Sud Artois;75
200035533;CC du Grand Saint Emilionnais;116.6
200035541;CC des Landes d'Armagnac;87.5
200035632;CC Armagnac Adour;114.2
200035707;CC Piège Lauragais Malepère;65.3
200035715;CA Carcassonne Agglo;105.2
200035723;CC Ventoux Sud;56.9
