CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Distance à la pharmacie la plus proche 2024
01001;L'Abergement-Clémenciat;5
01002;L'Abergement-de-Varey;15
01004;Ambérieu-en-Bugey;0
01005;Ambérieux-en-Dombes;11
01006;Ambléon;11
01007;Ambronay;7
01008;Ambutrix;5
01009;Andert-et-Condon;7
01010;Anglefort;24
01011;Apremont;7
01012;Aranc;11
01013;Arandas;18
01014;Arbent;5
01015;Arboys en Bugey;5
01016;Arbigny;6
01017;Argis;15
01019;Armix;19
01021;Ars-sur-Formans;6
01022;Artemare;17
01023;Asnières-sur-Saône;8
01024;Attignat;6
01025;Bâgé-Dommartin;11
01026;Bâgé-le-Châtel;9
01027;Balan;5
01028;Baneins;6
01029;Beaupont;15
01030;Beauregard;3
01031;Bellignat;3
01032;Béligneux;8
01033;Valserhône;0
01034;Belley;0
01035;Belleydoux;16
01036;Valromey-sur-Séran;17
01037;Bénonces;14
01038;Bény;15
01040;Béréziat;9
01041;Bettant;2
01042;Bey;7
01043;Beynost;0
01044;Billiat;7
01045;Birieux;6
01046;Biziat;4
01047;Blyes;11
01049;La Boisse;3
01050;Boissey;11
01051;Bolozon;24
01052;Bouligneux;4
01053;Bourg-en-Bresse;0
01054;Bourg-Saint-Christophe;4
01056;Boyeux-Saint-Jérôme;18
01057;Boz;4
01058;Brégnier-Cordon;9
01060;Brénod;10
01061;Brens;5
01062;Bressolles;6
01063;Brion;4
01064;Briord;7
01065;Buellas;10
01066;La Burbanche;16
01067;Ceignes;13
01068;Cerdon;18
01069;Certines;13
01071;Cessy;3
01072;Ceyzériat;12
01073;Ceyzérieu;11
01074;Chalamont;11
01075;Chaleins;9
01076;Chaley;9
01077;Challes-la-Montagne;18
01078;Challex;11
01079;Champagne-en-Valromey;17
01080;Champdor-Corcelles;5
01081;Champfromier;17
01082;Chanay;17
01083;Chaneins;9
01084;Chanoz-Châtenay;6
01085;La Chapelle-du-Châtelard;9
01087;Charix;12
01088;Charnoz-sur-Ain;6
01089;Château-Gaillard;6
01090;Châtenay;18
01092;Châtillon-la-Palud;10
01093;Châtillon-sur-Chalaronne;0
01094;Chavannes-sur-Reyssouze;5
01095;Nivigne et Suran;21
01096;Chaveyriat;7
01098;Chazey-Bons;5
01099;Chazey-sur-Ain;6
01100;Cheignieu-la-Balme;12
01101;Chevillard;12
01102;Chevroux;6
01103;Chevry;5
01104;Chézery-Forens;17
01105;Civrieux;7
01106;Cize;27
01107;Cleyzieu;13
01108;Coligny;20
01109;Collonges;11
01110;Colomieu;9
01111;Conand;16
01112;Condamine;10
01113;Condeissiat;14
01114;Confort;7
01115;Confrançon;10
01116;Contrevoz;9
01117;Conzieu;14
01118;Corbonod;22
01121;Corlier;12
01123;Cormoranche-sur-Saône;4
01124;Cormoz;18
01125;Corveissiat;23
01127;Courmangoux;20
01128;Courtes;14
01129;Crans;9
01130;Bresse Vallons;6
01133;Cressin-Rochefort;9
01134;Crottet;7
01135;Crozet;6
01136;Cruzilles-lès-Mépillat;9
01138;Culoz-Béon;16
01139;Curciat-Dongalon;18
01140;Curtafond;9
01141;Cuzieu;7
01142;Dagneux;2
01143;Divonne-les-Bains;8
01145;Dompierre-sur-Veyle;13
01146;Dompierre-sur-Chalaronne;6
01147;Domsure;18
01148;Dortan;8
01149;Douvres;5
01150;Drom;15
01151;Druillat;14
01152;Échallon;13
01153;Échenevex;4
01155;Évosges;17
01156;Faramans;7
01157;Fareins;6
01158;Farges;15
01159;Feillens;7
01160;Ferney-Voltaire;0
01162;Flaxieu;9
01163;Foissiat;6
01165;Francheleins;7
01166;Frans;2
01167;Garnerans;6
01169;Genouilleux;5
01170;Béard-Géovreissiat;6
01171;Géovreisset;5
01173;Gex;0
01174;Giron;21
01175;Gorrevod;2
01177;Grand-Corent;24
01179;Grièges;6
01180;Grilly;6
01181;Groissiat;5
01183;Guéreins;4
01184;Hautecourt-Romanèche;21
01185;Plateau d'Hauteville;0
01187;Haut Valromey;15
01188;Illiat;8
01189;Injoux-Génissiat;11
01190;Innimond;20
01191;Izenave;12
01192;Izernore;9
01193;Izieu;10
01194;Jassans-Riottier;0
01195;Jasseron;10
01196;Jayat;4
01197;Journans;15
01198;Joyeux;8
01199;Jujurieux;13
01200;Labalme;15
01202;Lagnieu;0
01203;Laiz;10
01204;Le Poizat-Lalleyriat;19
01206;Lantenay;15
01207;Lapeyrouse;5
01208;Lavours;12
01209;Léaz;6
01210;Lélex;28
01211;Lent;7
01212;Lescheroux;10
01213;Leyment;6
01214;Leyssard;15
01215;Surjoux-Lhopital;15
01216;Lhuis;17
01219;Lompnas;19
01224;Loyettes;8
01225;Lurcy;7
01227;Magnieu;4
01228;Maillat;8
01229;Malafretaz;3
01230;Mantenay-Montlin;10
01231;Manziat;8
01232;Marboz;10
01233;Marchamp;19
01234;Marignieu;7
01235;Marlieux;9
01236;Marsonnas;5
01237;Martignat;4
01238;Massieux;5
01239;Massignieu-de-Rives;9
01240;Matafelon-Granges;12
01241;Meillonnas;14
01242;Mérignat;24
01243;Messimy-sur-Saône;9
01244;Meximieux;0
01245;Bohas-Meyriat-Rignat;20
01246;Mézériat;6
01247;Mijoux;20
01248;Mionnay;10
01249;Miribel;0
01250;Misérieux;5
01252;Mogneneins;5
01254;Montagnat;10
01255;Montagnieu;10
01257;Montanges;14
01258;Montceaux;4
01259;Montcet;11
01260;Le Montellier;11
01261;Monthieux;9
01262;Montluel;0
01263;Montmerle-sur-Saône;5
01264;Montracol;10
01265;Montréal-la-Cluse;0
01266;Montrevel-en-Bresse;0
01267;Nurieux-Volognat;7
01268;Murs-et-Gélignieux;11
01269;Nantua;5
01272;Neuville-les-Dames;6
