CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Distance à la structure la plus proche 2024
01001;L'Abergement-Clémenciat;26
01002;L'Abergement-de-Varey;15
01004;Ambérieu-en-Bugey;0
01005;Ambérieux-en-Dombes;18
01006;Ambléon;11
01007;Ambronay;7
01008;Ambutrix;5
01009;Andert-et-Condon;7
01010;Anglefort;24
01011;Apremont;7
01012;Aranc;24
01013;Arandas;18
01014;Arbent;5
01015;Arboys en Bugey;5
01016;Arbigny;24
01017;Argis;17
01019;Armix;19
01021;Ars-sur-Formans;13
01022;Artemare;17
01023;Asnières-sur-Saône;14
01024;Attignat;8
01025;Bâgé-Dommartin;11
01026;Bâgé-le-Châtel;9
01027;Balan;19
01028;Baneins;24
01029;Beaupont;21
01030;Beauregard;6
01031;Bellignat;3
01032;Béligneux;22
01033;Valserhône;34
01034;Belley;0
01035;Belleydoux;16
01036;Valromey-sur-Séran;17
01037;Bénonces;28
01038;Bény;16
01040;Béréziat;22
01041;Bettant;2
01042;Bey;11
01043;Beynost;13
01044;Billiat;40
01045;Birieux;22
01046;Biziat;17
01047;Blyes;19
01049;La Boisse;16
01050;Boissey;18
01051;Bolozon;34
01052;Bouligneux;29
01053;Bourg-en-Bresse;0
01054;Bourg-Saint-Christophe;19
01056;Boyeux-Saint-Jérôme;18
01057;Boz;16
01058;Brégnier-Cordon;17
01060;Brénod;32
01061;Brens;5
01062;Bressolles;24
01063;Brion;15
01064;Briord;28
01065;Buellas;8
01066;La Burbanche;16
01067;Ceignes;24
01068;Cerdon;25
01069;Certines;13
01071;Cessy;25
01072;Ceyzériat;10
01073;Ceyzérieu;11
01074;Chalamont;18
01075;Chaleins;13
01076;Chaley;24
01077;Challes-la-Montagne;28
01078;Challex;15
01079;Champagne-en-Valromey;20
01080;Champdor-Corcelles;37
01081;Champfromier;29
01082;Chanay;36
01083;Chaneins;19
01084;Chanoz-Châtenay;18
01085;La Chapelle-du-Châtelard;25
01087;Charix;12
01088;Charnoz-sur-Ain;18
01089;Château-Gaillard;6
01090;Châtenay;21
01092;Châtillon-la-Palud;10
01093;Châtillon-sur-Chalaronne;24
01094;Chavannes-sur-Reyssouze;23
01095;Nivigne et Suran;23
01096;Chaveyriat;15
01098;Chazey-Bons;5
01099;Chazey-sur-Ain;14
01100;Cheignieu-la-Balme;12
01101;Chevillard;24
01102;Chevroux;14
01103;Chevry;23
01104;Chézery-Forens;36
01105;Civrieux;15
01106;Cize;26
01107;Cleyzieu;13
01108;Coligny;21
01109;Collonges;22
01110;Colomieu;9
01111;Conand;16
01112;Condamine;22
01113;Condeissiat;15
01114;Confort;39
01115;Confrançon;17
01116;Contrevoz;9
01117;Conzieu;14
01118;Corbonod;30
01121;Corlier;25
01123;Cormoranche-sur-Saône;9
01124;Cormoz;24
01125;Corveissiat;23
01127;Courmangoux;22
01128;Courtes;29
01129;Crans;15
01130;Bresse Vallons;11
01133;Cressin-Rochefort;9
01134;Crottet;7
01135;Crozet;24
01136;Cruzilles-lès-Mépillat;13
01138;Culoz-Béon;16
01139;Curciat-Dongalon;32
01140;Curtafond;15
01141;Cuzieu;7
01142;Dagneux;18
