annee,lieu,type_lieu,valeur,territoryid
2025,Bordeaux Métropole,Supermarché,0.0,243300316
2025,Bordeaux Métropole,Sortie d'autoroute,0.0,243300316
2025,Bordeaux Métropole,Parking relais,24.0,243300316
2025,Bordeaux Métropole,Parking,0.0,243300316
2025,Bordeaux Métropole,Délaissé routier,0.0,243300316
2025,Bordeaux Métropole,Auto-stop,0.0,243300316
2025,Bordeaux Métropole,Aire de covoiturage,41.0,243300316
2025,Brest Métropole,Supermarché,0.0,242900314
2025,Brest Métropole,Sortie d'autoroute,0.0,242900314
2025,Brest Métropole,Parking relais,0.0,242900314
2025,Brest Métropole,Parking,0.0,242900314
2025,Brest Métropole,Délaissé routier,0.0,242900314
2025,Brest Métropole,Auto-stop,0.0,242900314
2025,Brest Métropole,Aire de covoiturage,5.0,242900314
2025,CA Agglo du Pays de Dreux,Supermarché,0.0,200040277
2025,CA Agglo du Pays de Dreux,Sortie d'autoroute,0.0,200040277
2025,CA Agglo du Pays de Dreux,Parking relais,0.0,200040277
2025,CA Agglo du Pays de Dreux,Parking,1.0,200040277
2025,CA Agglo du Pays de Dreux,Délaissé routier,0.0,200040277
2025,CA Agglo du Pays de Dreux,Auto-stop,0.0,200040277
2025,CA Agglo du Pays de Dreux,Aire de covoiturage,2.0,200040277
2025,CA Agglomération d'Agen,Supermarché,0.0,200096956
2025,CA Agglomération d'Agen,Sortie d'autoroute,0.0,200096956
2025,CA Agglomération d'Agen,Parking relais,0.0,200096956
2025,CA Agglomération d'Agen,Parking,0.0,200096956
2025,CA Agglomération d'Agen,Délaissé routier,0.0,200096956
2025,CA Agglomération d'Agen,Auto-stop,0.0,200096956
2025,CA Agglomération d'Agen,Aire de covoiturage,3.0,200096956
2025,CA Agglo Pays d'Issoire,Supermarché,0.0,200070407
2025,CA Agglo Pays d'Issoire,Sortie d'autoroute,0.0,200070407
2025,CA Agglo Pays d'Issoire,Parking relais,0.0,200070407
2025,CA Agglo Pays d'Issoire,Parking,8.0,200070407
2025,CA Agglo Pays d'Issoire,Délaissé routier,0.0,200070407
2025,CA Agglo Pays d'Issoire,Auto-stop,0.0,200070407
2025,CA Agglo Pays d'Issoire,Aire de covoiturage,0.0,200070407
2025,CA Alès Agglomération,Supermarché,0.0,200066918
2025,CA Alès Agglomération,Sortie d'autoroute,0.0,200066918
2025,CA Alès Agglomération,Parking relais,0.0,200066918
2025,CA Alès Agglomération,Parking,0.0,200066918
2025,CA Alès Agglomération,Délaissé routier,0.0,200066918
2025,CA Alès Agglomération,Auto-stop,6.0,200066918
2025,CA Alès Agglomération,Aire de covoiturage,38.0,200066918
2025,CA Amiens Métropole,Supermarché,0.0,248000531
2025,CA Amiens Métropole,Sortie d'autoroute,0.0,248000531
2025,CA Amiens Métropole,Parking relais,0.0,248000531
2025,CA Amiens Métropole,Parking,0.0,248000531
2025,CA Amiens Métropole,Délaissé routier,0.0,248000531
2025,CA Amiens Métropole,Auto-stop,0.0,248000531
2025,CA Amiens Métropole,Aire de covoiturage,2.0,248000531
2025,CA Annemasse-Les Voirons-Agglomération,Supermarché,0.0,200011773
2025,CA Annemasse-Les Voirons-Agglomération,Sortie d'autoroute,0.0,200011773
2025,CA Annemasse-Les Voirons-Agglomération,Parking relais,0.0,200011773
2025,CA Annemasse-Les Voirons-Agglomération,Parking,0.0,200011773
2025,CA Annemasse-Les Voirons-Agglomération,Délaissé routier,0.0,200011773
2025,CA Annemasse-Les Voirons-Agglomération,Auto-stop,1.0,200011773
2025,CA Annemasse-Les Voirons-Agglomération,Aire de covoiturage,0.0,200011773
2025,CA Annonay Rhône Agglo,Supermarché,0.0,200072015
2025,CA Annonay Rhône Agglo,Sortie d'autoroute,0.0,200072015
2025,CA Annonay Rhône Agglo,Parking relais,0.0,200072015
2025,CA Annonay Rhône Agglo,Parking,1.0,200072015
2025,CA Annonay Rhône Agglo,Délaissé routier,0.0,200072015
2025,CA Annonay Rhône Agglo,Auto-stop,0.0,200072015
2025,CA Annonay Rhône Agglo,Aire de covoiturage,6.0,200072015
2025,CA Arche Agglo,Supermarché,0.0,200073096
