annee,lieu,valeur,territoryid
2024,Bordeaux Métropole,68886.0,243300316
2024,Brest Métropole,20089.0,242900314
2024,CA Agglo du Pays de Dreux,16937.0,200040277
2024,CA Agglomération d'Agen,11140.0,200096956
2024,CA Agglo Pays d'Issoire,4065.0,200070407
2024,CA Alès Agglomération,8322.0,200066918
2024,CA Amiens Métropole,19058.0,248000531
2024,CA Annemasse-Les Voirons-Agglomération,19314.0,200011773
2024,CA Annonay Rhône Agglo,3046.0,200072015
2024,CA Arche Agglo,6221.0,200073096
2024,CA Ardenne Métropole,5168.0,200041630
2024,CA Arlysère,25784.0,200068997
2024,CA Bassin d'Arcachon Sud (COBAS),2618.0,243300563
2024,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1508.0,200006682
2024,CA Bergeracoise,619.0,200070647
2024,CA Bourges Plus,7854.0,241800507
2024,CA Cannes Pays de Lérins,36652.0,200039915
2024,CA Carcassonne Agglo,19665.0,200035715
2024,CA Caux Seine Agglo,20576.0,200010700
2024,CA Chartres Métropole,12286.0,200033181
2024,CA Châteauroux Métropole,3659.0,243600327
2024,CA Chauny Tergnier La Fère,2022.0,200071785
2024,CA Cholet Agglomération,70453.0,200071678
2024,CA Clisson Sèvre et Maine Agglo,26384.0,200067635
2024,CA Coeur de Flandre,6543.0,200040947
2024,CA Coeur d'Essonne Agglomération,165506.0,200057859
2024,CA Coeur d'Ostrevent,5304.0,245901152
2024,CA Colmar Agglomération,16000.0,246800726
2024,CA Communauté Paris-Saclay,235026.0,200056232
2024,CA Concarneau Cornouaille Agglomération,2091.0,242900769
2024,CA Coulommiers Pays de Brie,29034.0,200090504
2024,CA Creil Sud Oise,15314.0,200068047
2024,CA d'Arles-Crau-Camargue-Montagnette,9417.0,241300417
2024,CA de Bar-le-Duc - Sud Meuse,3162.0,200033025
2024,CA de Bastia,691.0,242000354
2024,"CA de Béthune-Bruay, Artois-Lys Romane",132739.0,200072460
2024,CA de Béziers-Méditerranée,13622.0,243400769
2024,CA de Blois ''Agglopolys'',9721.0,200030385
2024,CA de Cambrai,5984.0,200068500
2024,CA de Castres Mazamet,2398.0,248100430
2024,CA de Cergy-Pontoise,88617.0,249500109
2024,CA de Châlons-en-Champagne,11250.0,200066876
2024,CA de Chaumont,1914.0,200068658
2024,CA de Forbach Porte de France,18960.0,245700372
2024,CA de Haguenau,12928.0,200067874
2024,CA de la Baie de Somme,1475.0,200070993
2024,CA de l'Albigeois (C2A),30227.0,248100737
2024,CA de la Porte du Hainaut,12913.0,200042190
2024,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),19551.0,244400610
2024,CA de la Provence Verte,9703.0,200068104
2024,CA de la Région de Château-Thierry,4055.0,200072031
2024,CA de la Région de Compiègne et de la Basse Automne,11088.0,200067965
2024,CA de la Région Dieppoise,5854.0,247600786
2024,CA de la Région Nazairienne et de l'Estuaire (CARENE),92906.0,244400644
2024,CA de la Riviera Française,22121.0,240600551
2024,CA de La Rochelle,93445.0,241700434
2024,CA de l'Auxerrois,4999.0,200067114
2024,CA de Lens - Liévin,151787.0,246200364
2024,CA de l'Ouest Rhodanien,4151.0,200040566
2024,CA de Nevers,1511.0,245804406
2024,CA de Nîmes Métropole,26308.0,243000643
2024,CA d'Epinal,10227.0,200068757
2024,CA de Saint-Dié-des-Vosges,4207.0,200071066
2024,CA de Saint Quentin en Yvelines,140721.0,200058782
2024,CA des Deux Baies en Montreuillois,5403.0,200069029
2024,CA de Sophia Antipolis,114564.0,240600585
2024,CA des Sorgues du Comtat,7884.0,248400293
2024,CA de Vesoul,3455.0,247000011
2024,CA d'Hénin-Carvin,71766.0,246200299
2024,CA Dinan Agglomération,6906.0,200068989
2024,CA Douaisis Agglo,21935.0,200044618
2024,CA Dracénie Provence Verdon Agglomération,6402.0,248300493
2024,CA du Bassin d'Arcachon Nord (COBAN),3325.0,243301504
2024,CA du Bassin d'Aurillac,1363.0,241500230
2024,CA du Bassin de Bourg-en-Bresse,13277.0,200071751
2024,CA du Bassin de Brive,4453.0,200043172
2024,CA du Beauvaisis,135202.0,200067999
2024,CA du Bocage Bressuirais,5173.0,200040244
2024,CA du Boulonnais,9504.0,246200729
2024,CA du Caudrésis et du Catésis,2213.0,200030633
2024,CA du Cotentin,12154.0,200067205
2024,CA du Gard Rhodanien,7008.0,200034692
2024,CA du Grand Angoulême,9006.0,200071827
2024,CA du Grand Annecy,148934.0,200066793
2024,CA du Grand Avignon (COGA),29784.0,248400251
2024,CA du Grand Cahors,778.0,200023737
2024,CA du Grand Chambéry,62613.0,200069110
2024,CA du Grand Cognac,3818.0,200070514
2024,CA du Grand Dax,4286.0,244000675
2024,CA du Grand Dole,1841.0,200010650
2024,CA du Grand Guéret,1361.0,200034825
2024,CA du Grand Saint-Dizier Der et Vallées,1525.0,200068666
2024,CA du Grand Sénonais,3216.0,248900334
2024,CA du Grand Verdun,1585.0,200049187
2024,CA du Grand Villeneuvois,3240.0,200023307
2024,CA du Libournais,5969.0,200070092
2024,CA du Niortais,28580.0,200041317
2024,CA du Pays Ajaccien,2117.0,242010056
2024,CA du Pays Basque,74939.0,200067106
2024,CA du Pays de Fontainebleau,18000.0,200072346
2024,CA du Pays de Gex,16423.0,240100750
2024,CA du Pays de Grasse,38057.0,200039857
2024,CA du Pays de Landerneau-Daoulas,4934.0,242900801
2024,CA du Pays de Laon,4554.0,200043495
2024,CA du Pays de l'Or,34756.0,243400470
2024,CA du Pays de Meaux,41039.0,200072130
2024,CA du Pays de Saint-Gilles-Croix-de-Vie,13230.0,200023778
2024,CA du Pays de Saint Malo Agglomération,7922.0,243500782
2024,CA du Pays de Saint-Omer,5685.0,200069037
2024,CA du Pays Voironnais,23907.0,243800984
2024,CA du Puy-en-Velay,3547.0,200073419
2024,CA Durance-Lubéron-Verdon Agglomération,9638.0,200034700
2024,CA du Saint-Quentinois,3399.0,200071892
2024,CA du Sicoval,17444.0,243100633
2024,CA du Val de Fensch,4397.0,245701222
2024,CA ECLA  (Espace Communautaire Lons Agglomération),2079.0,200071116
2024,"CA Epernay, Coteaux et Plaine de Champagne",4981.0,200067684
2024,CA Estérel Côte d'Azur Agglomération,13642.0,200035319
2024,CA Étampois Sud Essonne,25863.0,200017846
2024,CA Evreux Portes de Normandie,17527.0,200071454
2024,CA Fécamp Caux Littoral Agglomération,2905.0,200069821
2024,CA Flers Agglo,6197.0,200035814
2024,CA Fougères Agglomération,10598.0,200072452
2024,CA Gaillac-Graulhet,6477.0,200066124
2024,CA Gap-Tallard-Durance,1632.0,200067825
2024,CA Golfe du Morbihan - Vannes Agglomération,61158.0,200067932
2024,CA Grand Auch Coeur de Gascogne,3016.0,200066926
2024,CA Grand Belfort,29438.0,200069052
2024,CA Grand Calais Terres et Mers,10619.0,200090751
2024,CA Grand Châtellerault,8278.0,248600413
2024,CA Grand Lac,45184.0,200068674
2024,CA Grand Longwy Agglomération,1945.0,245400262
2024,CA Grand Montauban,13725.0,248200099
2024,CA Grand Paris Sud Seine Essonne Sénart,229904.0,200059228
2024,CA GrandSoissons Agglomération,6459.0,240200477
2024,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,6981.0,200067981
2024,CA Haut-Bugey Agglomération,3595.0,200042935
2024,CA Hérault-Méditerranée,9733.0,243400819
2024,CA L'Agglo Foix-Varilhes,816.0,200067791
2024,CA Lamballe Terre et Mer,3255.0,200069391
2024,CA Lannion-Trégor Communauté,23807.0,200065928
2024,CA La Roche-sur-Yon - Agglomération,112269.0,248500589
2024,CA Laval Agglomération,86328.0,200083392
2024,CA Le Grand Chalon,7044.0,247100589
2024,CA Le Grand Narbonne,6468.0,241100593
2024,CA Le Grand Périgueux,2522.0,200040392
2024,CA Le Muretain Agglo,13435.0,200068641
2024,CA Les Sables d'Olonne Agglomération,18329.0,200071165
2024,CA Lisieux Normandie,3466.0,200069532
2024,CA Loire Forez Agglomération (LFA),3137.0,200065886
2024,CA Lorient Agglomération,20159.0,200042174
2024,CA Luberon Monts de Vaucluse,6051.0,200040442
2024,CA Lunel Agglo,15886.0,243400520
2024,CA Mâconnais Beaujolais Agglomération,4103.0,200070308
2024,CA Marne et Gondoire,51588.0,247700594
2024,CA Maubeuge Val de Sambre,16794.0,200043396
2024,CA Mauges Communauté,81861.0,200060010
2024,CA Melun Val de Seine,55111.0,247700057
2024,CA Montargoise et Rives du Loing (AME),3184.0,244500203
2024,CA Mont de Marsan Agglomération,4583.0,244000808
2024,CA Montélimar Agglomération,5973.0,200040459
2024,CA Montluçon Communauté,939.0,200071082
2024,CA Mont-Saint-Michel-Normandie,3982.0,200069425
2024,CA Morlaix Communauté,2727.0,242900835
2024,CA Moulins Communauté,1067.0,200071140
2024,CA Mulhouse Alsace Agglomération,23514.0,200066009
2024,CA Paris - Vallée de la Marne,89613.0,200057958
2024,CA Pau Béarn Pyrénées,24361.0,200067254
2024,CA Pays de Montbéliard Agglomération,22365.0,200065647
2024,CA Plaine Vallée,27247.0,200056380
2024,CA Pornic Agglo Pays de Retz,18662.0,200067346
2024,CA Porte de l'Isère (CAPI),46672.0,243800604
2024,CA Portes de France-Thionville,5925.0,245701362
2024,CA Privas Centre Ardèche,4601.0,200071413
2024,CA Provence-Alpes-Agglomération,1971.0,200067437
2024,CA Quimper Bretagne Occidentale,7142.0,200068120
2024,CA Quimperlé Communauté,3995.0,242900694
2024,CA Rambouillet Territoires,35524.0,200073344
2024,CA Redon Agglomération,4722.0,243500741
2024,CA Riom Limagne et Volcans,12842.0,200070753
2024,CA Roannais Agglomération,5516.0,200035731
2024,CA Rochefort Océan,20854.0,200041762
2024,CA Rodez Agglomération,3912.0,241200187
2024,CA Roissy Pays de France,134427.0,200055655
2024,CA Royan Atlantique,2527.0,241700640
2024,CA Saint-Avold Synergie,5801.0,200067502
2024,CA Saint-Brieuc Armor Agglomération,9034.0,200069409
2024,"CA ""Saintes - Grandes Rives - L'Agglo""",3816.0,200036473
2024,CA Saint Germain Boucles de Seine,54147.0,200058519
2024,CA Saint-Lô Agglo,8109.0,200066389
2024,CA Saint-Louis Agglomération,4346.0,200066058
2024,CA Sarreguemines Confluences,42670.0,200070746
2024,CA Saumur Val de Loire,21439.0,200071876
2024,CA Seine-Eure,41964.0,200089456
2024,CA Seine Normandie Agglomération,10694.0,200072312
2024,CA Sète Agglopôle Méditerranée,24570.0,200066355
2024,CA Sud Sainte Baume,4988.0,248300394
2024,CA Tarbes-Lourdes-Pyrénées,24792.0,200069300
2024,CA Terre de Provence,4323.0,200035087
2024,CA Terres de Montaigu,43507.0,200070233
2024,CA Territoires Vendômois,8531.0,200072072
2024,CA Thonon Agglomération,15236.0,200067551
2024,CA Troyes Champagne Métropole,52194.0,200069250
2024,CA Tulle Agglo,1371.0,241927201
2024,CA Val de Garonne Agglomération,1842.0,200030674
2024,CA Val d'Europe Agglomération,45259.0,247700339
2024,CA Val d'Yerres Val de Seine,36929.0,200058477
2024,CA Valence Romans Agglo,32601.0,200068781
2024,CA Valenciennes Métropole,30606.0,245901160
2024,CA Val Parisis,57309.0,200058485
2024,CA Ventoux-Comtat-Venaissin (COVE),6880.0,248400053
2024,CA Versailles Grand Parc (CAVGP),101468.0,247800584
2024,CA Vichy Communauté,1685.0,200071363
2024,CA Vienne Condrieu,50663.0,200077014
2024,CA Villefranche Beaujolais Saône,7008.0,200040590
2024,CA Vitré Communauté,51854.0,200039022
2024,CC Adour Madiran,636.0,200072106
2024,CC Agly Fenouillèdes,26.0,246600423
2024,CC Airvaudais-Val du Thouet,162.0,200041416
2024,CC Albret Communauté,920.0,200068948
2024,CC Alpes d'Azur,486.0,200039931
2024,"CC Alpes-Provence-Verdon ""Sources de lumière""",146.0,200068625
2024,CC Alsace Rhin Brisach,2857.0,200066025
2024,CC Altitude 800,174.0,242504488
2024,CC Ambert Livradois Forez,225.0,200070761
2024,CC Amognes Coeur du Nivernais,34.0,200067908
2024,CC Andaine - Passais,425.0,200068443
2024,CC Anjou Bleu Communauté,15068.0,244900809
2024,CC Anjou Loir et Sarthe,11042.0,200068955
2024,"CC Arbois, Poligny, Salins, Coeur du Jura",782.0,200071595
2024,CC Arc Sud Bretagne,5687.0,200027027
2024,CC Ardèche des Sources et Volcans,187.0,200039824
2024,CC Ardèche Rhône Coiron,3628.0,200071405
2024,"CC Ardenne, Rives de Meuse",738.0,240800821
2024,CC Ardennes Thiérache,83.0,200041622
2024,CC Argonne-Meuse,212.0,200066116
2024,CC Arize Lèze,161.0,200066223
2024,CC Armagnac Adour,3.0,200035632
2024,CC Arnon Boischaut Cher,316.0,200027076
2024,CC Artagnan de Fezensac,130.0,243200607
2024,CC Arve et Salève,3985.0,247400583
2024,CC Astarac Arros en Gascogne,151.0,200035756
2024,"CC Aubrac, Carladez et Viadène",199.0,200067171
2024,CC Aubrac Lot Causses Tarn,725.0,200069268
2024,CC Aunis Atlantique,22946.0,200041499
2024,CC Aunis Sud,7530.0,200041614
2024,CC Auray Quiberon Terre Atlantique,11763.0,200043123
2024,CC Aure Louron,150.0,246500573
2024,CC Autour de Chenonceaux Bléré-Val de Cher,1927.0,243700820
2024,CC Auxonne Pontailler Val de Saône,743.0,200070902
2024,CC Aux sources du Canal du Midi,805.0,243100567
2024,CC Auzon Communauté,410.0,244301099
2024,"CC Avallon, Vézelay, Morvan",176.0,200039758
2024,CC Aveyron Bas Ségala Viaur,134.0,241200807
2024,CC Avre Luce Noye,1225.0,200070969
2024,CC Aygues-Ouvèze en Provence (CCAOP),1271.0,248400160
2024,CC Bassée-Montois,2603.0,200040251
2024,CC Bastides de Lomagne,200.0,200034726
2024,CC Bastides et Vallons du Gers,37.0,243200508
2024,CC Baud Communauté,835.0,200096675
2024,CC Baugeois Vallée,14875.0,244900882
2024,CC Bazois Loire Morvan,8.0,200067882
2024,CC Beaucaire Terre d'Argence,3594.0,243000585
2024,CC Beauce Val de Loire,939.0,200055481
2024,CC Beaujolais Pierres Dorées,4210.0,200040574
2024,CC Berg et Coiron,303.0,240700815
2024,CC Berry Grand Sud,25.0,200049484
2024,CC Berry Loire Puisaye,500.0,200068278
2024,CC Berry-Loire-Vauvise,37.0,200032514
2024,CC Bièvre Isère,6213.0,200059392
2024,CC Billom Communauté,1982.0,200067627
2024,CC Blavet Bellevue Océan,1098.0,245600440
2024,CC Bouzonvillois-Trois Frontières,467.0,200067486
2024,CC Bray-Eawy,3046.0,200070068
2024,CC Brenne - Val de Creuse,381.0,243600319
2024,CC Bresse et Saône,548.0,200071371
2024,CC Bresse Haute Seille,577.0,200069615
2024,CC Bresse Louhannaise Intercom',1203.0,200071579
2024,CC Bresse Nord Intercom',21.0,247100647
2024,CC Bresse Revermont 71,226.0,200042414
2024,CC Bretagne Porte de Loire Communauté,2223.0,200070662
2024,CC Bretagne Romantique,3062.0,243500733
2024,CC Briance-Combade,27.0,248719338
2024,CC Briance Sud Haute Vienne,623.0,200040814
2024,CC Brie des Rivières et Châteaux,11587.0,200070779
2024,CC Brie Nangissienne,10650.0,247700701
2024,CC Brionnais Sud Bourgogne,242.0,200070548
2024,CC Brioude Sud Auvergne,279.0,200085728
2024,CC Brocéliande Communauté,1559.0,243500618
2024,CC Bruyères-Vallons des Vosges,426.0,200042000
2024,CC Buëch-Dévoluy,60.0,200067445
2024,CC Bugey Sud,1705.0,200040350
2024,CC Cagire Garonne Salat,84.0,200073146
2024,CC Campagne-de-Caux,1351.0,247600505
2024,CC Canaux et Forêts en Gâtinais,641.0,200067676
2024,CC Cap Sizun - Pointe du Raz,88.0,242900629
2024,CC Carmausin-Ségala,1783.0,200040905
2024,CC Carnelle Pays-de-France,6868.0,200073013
2024,CC Castelnaudary Lauragais Audois,2138.0,200035855
2024,CC Castillon/Pujols,205.0,243301454
2024,CC Causses Aigoual Cévennes,136.0,200034601
2024,CC Causses et Vallée de la Dordogne,594.0,200066371
2024,CC Caux - Austreberthe,9644.0,247600646
2024,CC Cazals-Salviac,10.0,200035327
2024,CC Celavu-Prunelli,429.0,242000503
2024,CC Centre Morbihan Communauté,5307.0,200096683
2024,CC Centre Tarn,375.0,200034049
2024,CC Cère et Goul en Carladès,16.0,241501089
2024,CC Chablis Villages et Terroirs,760.0,200067080
2024,CC Chabris - Pays de Bazelle,77.0,243600202
2024,CC Challans-Gois Communauté,18146.0,200071629
2024,CC Chalosse Tursan,408.0,200069649
2024,CC Champagne Boischauts,607.0,200068880
2024,CC Champagnole Nozeroy Jura,445.0,200069623
2024,CC Champsaur-Valgaudemar,145.0,200068096
2024,CC Charlieu-Belmont,672.0,200035202
2024,CC Châteaubriant-Derval,7877.0,200072726
2024,CC Chavanon Combrailles et Volcans,466.0,200071215
2024,"CC Chinon, Vienne et Loire",2854.0,200043081
2024,CC Cingal-Suisse Normande,1233.0,200066710
2024,CC Cluses-Arve et Montagnes,14202.0,200033116
2024,CC Coeur Côte Fleurie,2948.0,241400415
2024,CC Coeur d'Astarac en Gascogne,487.0,243200425
2024,CC Coeur de Beauce,1618.0,200070159
2024,CC Coeur de Berry,70.0,200070571
2024,CC Coeur de Brenne,29.0,243600343
2024,CC Coeur de Charente,727.0,200072023
2024,CC Coeur de Chartreuse,2080.0,200040111
2024,CC Coeur de France,244.0,200036135
2024,CC Coeur de Garonne,1613.0,200068815
2024,CC Coeur de l'Avesnois,1096.0,200043263
2024,CC Coeur de Loire,682.0,200067916
2024,CC Coeur de Lozère,2229.0,244800405
2024,CC Coeur de Maurienne Arvan,1472.0,200070464
2024,CC Coeur de Nacre,2268.0,241400860
2024,CC Coeur de Saintonge,1189.0,241700517
2024,CC Coeur de Savoie,19302.0,200041010
2024,CC Coeur de Sologne,267.0,200000800
2024,CC Coeur de Tarentaise,8112.0,200023299
2024,CC Coeur du Pays Haut,767.0,200070290
2024,CC Coeur du Perche,93.0,200068435
2024,CC Coeur du Var,3535.0,248300550
2024,CC Coeur d'Yvelines,16146.0,247800618
2024,CC Coeur et Coteaux du Comminges,957.0,200072643
2024,CC Coeur Haute Lande,208.0,200069656
2024,CC Collines Isère Nord Communauté,2505.0,243801255
2024,CC Combrailles Sioule et Morge,1216.0,200072098
2024,CC Commentry Montmarault Néris Communauté,197.0,200071512
2024,CC Communauté Lesneven Côte des Légendes,1867.0,242900793
2024,CC Comtal Lot et Truyère,1854.0,200067478
2024,CC Conflent-Canigó,391.0,200049211
2024,CC Conques-Marcillac,184.0,241200641
2024,CC Convergence Garonne,1426.0,200069581
2024,CC Corbières Salanque Méditerranée,1423.0,200070365
2024,CC Coteaux et Vallées des Luys,230.0,244000881
2024,CC Côte d'Emeraude,1608.0,243500725
2024,CC Côte Landes Nature,673.0,244000857
2024,CC Côte Ouest Centre Manche,647.0,200067031
2024,CC Côtes de Champagne et Val de Saulx,85.0,200067379
2024,CC Côtes de Meuse Woëvre,121.0,200034874
2024,CC Couesnon Marches de Bretagne,705.0,200070688
2024,CC Couserans-Pyrénées,271.0,200067940
2024,CC Coutances Mer et Bocage,2462.0,200067023
2024,CC Creuse Confluence,217.0,200067544
2024,CC Creuse Grand Sud,37.0,200044014
2024,CC Creuse Sud Ouest,483.0,200067189
2024,CC d'Aire-sur-l'Adour,323.0,200030435
2024,"CC d'Arcis, Mailly, Ramerupt",747.0,200071777
2024,CC d'Auberive Vingeanne et Montsaugeonnais,15.0,200027308
2024,CC de Bayeux Intercom,1838.0,241400555
2024,CC de Belle Ile en Mer,0.0,245600465
2024,CC de Bénévent Grand Bourg,155.0,242320000
2024,CC de Bièvre Est,1281.0,243801073
2024,CC de Blaye,252.0,200023794
2024,CC de Calvi Balagne,216.0,242020105
2024,CC de Cattenom et Environs,2166.0,245700695
2024,CC Decazeville Communauté,229.0,200067064
2024,CC de Cèze Cévennes,290.0,200035129
2024,CC de Charente Limousine,203.0,200072049
2024,CC de Commercy - Void - Vaucouleurs,741.0,200066157
2024,CC de Damvillers Spincourt,29.0,200066173
2024,CC de Desvres-Samer,784.0,200018083
2024,CC de Domme- Villefranche du Périgord,63.0,200041440
2024,CC de Fium'Orbu Castellu,118.0,200033827
2024,CC de Forez-Est,4416.0,200065894
2024,CC de Freyming-Merlebach,5768.0,245700398
2024,CC de Gâtine-Racan,1564.0,200073237
2024,CC de Gémozac et de la Saintonge Viticole,158.0,241700632
2024,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,2027.0,200070894
2024,"CC de Granville, Terre et Mer",1773.0,200042604
2024,CC de Hanau-La Petite Pierre,775.0,200067783
2024,CC de Haute Cornouaille,194.0,242900561
2024,CC de Haute-Tarentaise,4777.0,247300254
2024,CC de la Baie du Cotentin,1737.0,200042729
2024,CC de la Basse-Zorn,1834.0,246700843
2024,CC de la Beauce Loirétaine,3788.0,200035764
2024,CC de la Brie Champenoise,205.0,245100888
2024,CC de la Castagniccia-Casinca,78.0,200073252
