Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre d'établissements industriels à risque (classés Seveso) 2025
200000172;CC Faucigny - Glières;0
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;0
200000545;CC des Portes de Romilly sur Seine;2
200000628;CC Rhône Lez Provence;2
200000800;CC Coeur de Sologne;0
200000925;CC de la Plaine Dijonnaise;2
200000933;CC Sauldre et Sologne;1
200004802;CC du Pays de Fayence;0
200005932;CC des Portes de Sologne;1
200005957;CC de la Région de Rambervillers;0
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;1
200006716;CC du Nogentais;2
200006930;CC du Haut Allier Margeride;0
200006971;CC du Perche;1
200007052;CC de la Marche Berrichonne;0
200007177;CC Pays de Nérondes;0
200010650;CA du Grand Dole;5
200010700;CA Caux Seine Agglo;16
200011773;CA Annemasse-Les Voirons-Agglomération;0
200011781;CC Portes du Berry entre Loire et Val d'Aubois;0
200013050;CC Sauer-Pechelbronn;0
200015162;CC de l'Oriente;0
200016905;CC du Pays de Lamastre;0
200017341;CC Lodévois et Larzac;0
200017846;CA Étampois Sud Essonne;1
200018083;CC de Desvres-Samer;0
200018166;CC Le Grésivaudan;3
200018406;CC du Romorantinais et du Monestois;0
200018521;CC du Val de Bouzanne;0
200018653;CA CAP Excellence;3
200022986;CC du Grand Pic Saint-Loup;0
200023075;CC du Pays de Maîche;0
200023125;CC Les Portes Briardes Entre Villes et Forêts;1
200023240;CC Pays de Nemours;2
200023299;CC Coeur de Tarentaise;1
200023307;CA du Grand Villeneuvois;1
200023372;CC de la Vallée de Chamonix-Mont-Blanc;0
200023414;Métropole Rouen Normandie;26
200023620;CC de la Gascogne Toulousaine;1
200023737;CA du Grand Cahors;0
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;0
200023794;CC de Blaye;2
200023919;CC Gâtinais Val de Loing;1
200026573;CC Haut-Jura Saint-Claude;0
200027027;CC Arc Sud Bretagne;0
200027076;CC Arnon Boischaut Cher;0
200027100;CC Méditerranée Porte des Maures;0
200027183;CU Perpignan Méditerranée Métropole;2
200027217;CC Sarlat-Périgord Noir;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;0
200027548;CC des Savanes;23
200029734;CC des 4B Sud Charente;1
200029999;CC Rives de l'Ain - Pays du Cerdon;0
200030195;Métropole Nice Côte d'Azur;2
200030385;CA de Blois ''Agglopolys'';3
200030435;CC d'Aire-sur-l'Adour;0
200030526;CC du Ried de Marckolsheim;0
200030633;CA du Caudrésis et du Catésis;0
200030658;CC du Trièves;0
200030674;CA Val de Garonne Agglomération;2
200032514;CC Berry-Loire-Vauvise;0
200033025;CA de Bar-le-Duc - Sud Meuse;0
200033090;CC Plaines et Monts de France;0
200033116;CC Cluses-Arve et Montagnes;0
200033173;CC de la Haute Vallée de Chevreuse;0
200033181;CA Chartres Métropole;1
200033298;CC des Coëvrons;1
200033579;CU d'Arras;4
200033827;CC de Fium'Orbu Castellu;0
200033868;CC des Ballons des Hautes-Vosges;0
200034023;CC Tarn-Agout;1
200034031;CC des Monts d'Alban et du Villefranchois;0
200034049;CC Centre Tarn;0
200034056;CC du Lautrécois et du Pays d'Agout;1
200034064;CC du Cordais et du Causse;0
200034098;CC des Montagnes du Giffre;0
200034130;CC Gally Mauldre;0
200034197;CC de Montaigne Montravel et Gurson;0
200034205;CC de la Costa Verde;0
200034270;CC du Pays de Barr;0
200034379;CC Pays d'Uzès;0
200034411;CC du Piémont Cévenol;0
200034601;CC Causses Aigoual Cévennes;0
200034635;CC du Kochersberg;0
200034692;CA du Gard Rhodanien;2
200034700;CA Durance-Lubéron-Verdon Agglomération;1
200034718;CC de Vitry, Champagne et Der;0
200034726;CC Bastides de Lomagne;0
200034825;CA du Grand Guéret;1
200034833;CC des Bastides Dordogne-Périgord;2
200034874;CC Côtes de Meuse Woëvre;0
200034882;CC Pays du Mont-Blanc;0
200034957;CC du Frontonnais;0
200035087;CA Terre de Provence;0
200035103;CC de la Vallée de la Haute Sarthe;0
200035111;CC des Sources de l'Orne;0
200035129;CC de Cèze Cévennes;0
200035137;CC Marche Occitane - Val d'Anglin;0
200035202;CC Charlieu-Belmont;0
200035319;Estérel Côte d'Azur Agglomération;3
200035327;CC Cazals-Salviac;0
200035442;CC du Sud Artois;0
200035533;CC du Grand Saint Emilionnais;0
200035541;CC des Landes d'Armagnac;0
200035632;CC Armagnac Adour;0
200035707;CC Piège Lauragais Malepère;0
200035715;CA Carcassonne Agglo;0
200035723;CC Ventoux Sud;0
200035731;CA Roannais Agglomération;0
200035756;CC Astarac Arros en Gascogne;0
200035764;CC de la Beauce Loirétaine;2
200035772;CC du Pays du Saintois;0
200035814;CA Flers Agglo;0
200035848;CC du Châtillonnais en Berry;0
200035855;CC Castelnaudary Lauragais Audois;0
200035863;CC Région Lézignanaise, Corbières et Minervois;0
200035970;CC Vexin Centre;0
200036069;CC du Pays de Mortagne-au-Perche;0
200036077;CC du Golfe de Saint-Tropez;0
200036135;CC Coeur de France;0
200036150;CC des Hauts du Val de Saône;0
200036465;CC de Thann-Cernay;7
200036473;CA "Saintes - Grandes Rives - L'Agglo";1
200036499;CC de Marana-Golo;5
200036523;CC des Bastides en Haut Agenais Périgord;1
200036549;CC Val de Gray;1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);2
200037133;CC du Provinois;0
200038958;CC de la Pieve de l'Ornano et du Taravo;0
200038990;CC de Saint-Méen Montauban;1
200039022;CA Vitré Communauté;2
200039055;CC Ouche et Montagne;0
200039063;CC Forêts, Seine et Suzon;0
200039204;CC de Lacq-Orthez;20
200039519;CC du Quercy Blanc;0
200039642;CC Le Tonnerrois en Bourgogne;0
200039709;CC du Serein;0
200039758;CC Avallon, Vézelay, Morvan;0
200039808;CC des Gorges de l'Ardèche;0
200039824;CC Ardèche des Sources et Volcans;0
