Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200000172;CC Faucigny - Glières;29
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;29.9
200000545;CC des Portes de Romilly sur Seine;16.9
200000628;CC Rhône Lez Provence;23
200000800;CC Coeur de Sologne;21.1
200000925;CC de la Plaine Dijonnaise;21.7
200000933;CC Sauldre et Sologne;18.4
200004802;CC du Pays de Fayence;25.4
200005932;CC des Portes de Sologne;28.9
200005957;CC de la Région de Rambervillers;18.6
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;21.7
200006716;CC du Nogentais;15.7
200006930;CC du Haut Allier Margeride;29.5
200006971;CC du Perche;27
200007052;CC de la Marche Berrichonne;17
200007177;CC Pays de Nérondes;14.7
200010650;CA du Grand Dole;26.4
200010700;CA Caux Seine Agglo;18.2
200011773;CA Annemasse-Les Voirons-Agglomération;17.9
200011781;CC Portes du Berry entre Loire et Val d'Aubois;21.9
200013050;CC Sauer-Pechelbronn;20.9
200015162;CC de l'Oriente;15.2
200016905;CC du Pays de Lamastre;20.2
200017341;CC Lodévois et Larzac;17.1
200017846;CA Étampois Sud Essonne;19.6
200018083;CC de Desvres-Samer;19.2
200018166;CC Le Grésivaudan;33.6
200018406;CC du Romorantinais et du Monestois;20.8
200018521;CC du Val de Bouzanne;21.8
200018653;CA CAP Excellence;13.4
200022986;CC du Grand Pic Saint-Loup;28.9
200023075;CC du Pays de Maîche;21.4
200023125;CC Les Portes Briardes Entre Villes et Forêts;22.2
200023240;CC Pays de Nemours;18.8
200023299;CC Coeur de Tarentaise;31.2
200023307;CA du Grand Villeneuvois;26.1
200023372;CC de la Vallée de Chamonix-Mont-Blanc;64.6
200023414;Métropole Rouen Normandie;19.5
200023620;CC de la Gascogne Toulousaine;37.3
200023737;CA du Grand Cahors;28.3
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;31
200023794;CC de Blaye;19.9
200023919;CC Gâtinais Val de Loing;16.6
